Suburb ,Type,Date
Elwood,UniTownhouse,01/04/2017
Elwood,UniTownhouse,01/04/2017
Elwood,House,01/04/2017
Elwood,House,01/04/2017
Endeavour Hills,House,01/04/2017
Epping,House,01/04/2017
Epping,House,01/04/2017
Epping,House,01/04/2017
Essendon,House,01/04/2017
Essendon,House,01/04/2017
Essendon,House,01/04/2017
Essendon,UniTownhouse,01/04/2017
Essendon,UniTownhouse,01/04/2017
Essendon North,House,01/04/2017
Essendon West,House,01/04/2017
Fawkner,House,01/04/2017
Fawkner,House,01/04/2017
Fawkner,Townhouse,01/04/2017
Ferntree Gully,House,01/04/2017
Ferntree Gully,House,01/04/2017
Ferntree Gully,House,01/04/2017
Fitzroy,House,01/04/2017
Fitzroy North,House,01/04/2017
Fitzroy North,House,01/04/2017
Fitzroy North,House,01/04/2017
Fitzroy North,UniTownhouse,01/04/2017
Fitzroy North,House,01/04/2017
Fitzroy North,House,01/04/2017
Fitzroy North,House,01/04/2017
Fitzroy North,House,01/04/2017
Footscray,Townhouse,01/04/2017
Forest Hill,House,01/04/2017
Frankston,House,01/04/2017
Frankston,House,01/04/2017
Frankston North,House,01/04/2017
Gladstone Park,House,01/04/2017
Glen Iris,Townhouse,01/04/2017
Glen Iris,House,01/04/2017
Glen Iris,House,01/04/2017
Glen Iris,Townhouse,01/04/2017
Glen Iris,House,01/04/2017
Glen Iris,House,01/04/2017
Glen Waverley,House,01/04/2017
Glen Waverley,House,01/04/2017
Glen Waverley,House,01/04/2017
Glenroy,Townhouse,01/04/2017
Gowanbrae,House,01/04/2017
Gowanbrae,House,01/04/2017
Greensborough,House,01/04/2017
Greensborough,House,01/04/2017
Greensborough,House,01/04/2017
Greensborough,House,01/04/2017
Greensborough,House,01/04/2017
Greensborough,House,01/04/2017
Greensborough,House,01/04/2017
Greenvale,House,01/04/2017
Hadfield,House,01/04/2017
Hadfield,House,01/04/2017
Hampton,House,01/04/2017
Hampton,House,01/04/2017
Hampton,UniTownhouse,01/04/2017
Hampton,Townhouse,01/04/2017
Hawthorn,UniTownhouse,01/04/2017
Hawthorn,House,01/04/2017
Hawthorn,UniTownhouse,01/04/2017
Hawthorn,UniTownhouse,01/04/2017
Hawthorn,House,01/04/2017
Hawthorn,UniTownhouse,01/04/2017
Heidelberg,UniTownhouse,01/04/2017
Heidelberg,House,01/04/2017
Heidelberg Heights,House,01/04/2017
Heidelberg Heights,UniTownhouse,01/04/2017
Heidelberg Heights,House,01/04/2017
Heidelberg West,House,01/04/2017
Highett,House,01/04/2017
Hillside,House,01/04/2017
Hoppers Crossing,House,01/04/2017
Hoppers Crossing,House,01/04/2017
Hoppers Crossing,House,01/04/2017
Hughesdale,House,01/04/2017
Hughesdale,House,01/04/2017
Huntingdale,House,01/04/2017
Ivanhoe,House,01/04/2017
Ivanhoe,House,01/04/2017
Ivanhoe,House,01/04/2017
Ivanhoe East,House,01/04/2017
Jacana,House,01/04/2017
Jacana,House,01/04/2017
Keilor Downs,House,01/04/2017
Keilor East,House,01/04/2017
Keilor East,House,01/04/2017
Keilor East,House,01/04/2017
Keilor East,House,01/04/2017
Keilor East,UniTownhouse,01/04/2017
Kensington,House,01/04/2017
Kensington,House,01/04/2017
Kew,UniTownhouse,01/04/2017
Kew,House,01/04/2017
Kew,House,01/04/2017
Kew,House,01/04/2017
Kew,House,01/04/2017
Kew,House,01/04/2017
Kew East,House,01/04/2017
Lalor,House,01/04/2017
MacLeod,House,01/04/2017
MacLeod,UniTownhouse,01/04/2017
MacLeod,House,01/04/2017
Malvern,House,01/04/2017
Malvern,UniTownhouse,01/04/2017
Malvern East,House,01/04/2017
Malvern East,House,01/04/2017
Maribyrnong,House,01/04/2017
Maribyrnong,UniTownhouse,01/04/2017
McKinnon,House,01/04/2017
Meadow Heights,House,01/04/2017
Melbourne,UniTownhouse,01/04/2017
Melton,House,01/04/2017
Mentone,House,01/04/2017
Mentone,UniTownhouse,01/04/2017
Mentone,Townhouse,01/04/2017
Mernda,House,01/04/2017
Middle Park,UniTownhouse,01/04/2017
Mill Park,House,01/04/2017
Mill Park,House,01/04/2017
Mill Park,House,01/04/2017
Montmorency,House,01/04/2017
Moonee Ponds,House,01/04/2017
Moonee Ponds,House,01/04/2017
Moonee Ponds,House,01/04/2017
Moonee Ponds,House,01/04/2017
Moonee Ponds,House,01/04/2017
Moonee Ponds,House,01/04/2017
Moorabbin,House,01/04/2017
Moorabbin,House,01/04/2017
Moorabbin,Townhouse,01/04/2017
Mooroolbark,House,01/04/2017
Mordialloc,Townhouse,01/04/2017
Mordialloc,House,01/04/2017
Mount Waverley,UniTownhouse,01/04/2017
Mount Waverley,House,01/04/2017
Mount Waverley,House,01/04/2017
Mount Waverley,Townhouse,01/04/2017
Mount Waverley,UniTownhouse,01/04/2017
Mount Waverley,House,01/04/2017
Mount Waverley,Townhouse,01/04/2017
Mount Waverley,House,01/04/2017
Mulgrave,House,01/04/2017
Mulgrave,House,01/04/2017
Mulgrave,House,01/04/2017
Mulgrave,House,01/04/2017
Mulgrave,House,01/04/2017
Murrumbeena,UniTownhouse,01/04/2017
Newport,House,01/04/2017
Noble Park,House,01/04/2017
North Melbourne,House,01/04/2017
Northcote,House,01/04/2017
Northcote,House,01/04/2017
Nunawading,House,01/04/2017
Nunawading,House,01/04/2017
Nunawading,House,01/04/2017
Oak Park,House,01/04/2017
Oak Park,House,01/04/2017
Oakleigh,Townhouse,01/04/2017
Oakleigh South,House,01/04/2017
Ormond,UniTownhouse,01/04/2017
Ormond,House,01/04/2017
Ormond,Townhouse,01/04/2017
Pakenham,House,01/04/2017
Parkdale,House,01/04/2017
Parkdale,House,01/04/2017
Parkdale,UniTownhouse,01/04/2017
Parkville,UniTownhouse,01/04/2017
Pascoe Vale,House,01/04/2017
Pascoe Vale,House,01/04/2017
Pascoe Vale,UniTownhouse,01/04/2017
Pascoe Vale,House,01/04/2017
Patterson Lakes,Townhouse,01/04/2017
Port Melbourne,UniTownhouse,01/04/2017
Port Melbourne,House,01/04/2017
Port Melbourne,UniTownhouse,01/04/2017
Port Melbourne,House,01/04/2017
Prahran,UniTownhouse,01/04/2017
Prahran,House,01/04/2017
Prahran,House,01/04/2017
Prahran,UniTownhouse,01/04/2017
Preston,Townhouse,01/04/2017
Preston,House,01/04/2017
Preston,House,01/04/2017
Reservoir,House,01/04/2017
Reservoir,House,01/04/2017
Reservoir,House,01/04/2017
Reservoir,UniTownhouse,01/04/2017
Reservoir,House,01/04/2017
Reservoir,House,01/04/2017
Reservoir,Townhouse,01/04/2017
Reservoir,House,01/04/2017
Reservoir,House,01/04/2017
Richmond,House,01/04/2017
Richmond,UniTownhouse,01/04/2017
Richmond,UniTownhouse,01/04/2017
Richmond,House,01/04/2017
Richmond,House,01/04/2017
Riddells Creek,House,01/04/2017
Ringwood,UniTownhouse,01/04/2017
Ringwood,House,01/04/2017
Ringwood East,House,01/04/2017
Ringwood East,House,01/04/2017
Ringwood North,House,01/04/2017
Rowville,House,01/04/2017
Roxburgh Park,House,01/04/2017
Roxburgh Park,House,01/04/2017
Roxburgh Park,House,01/04/2017
Scoresby,House,01/04/2017
Seaford,House,01/04/2017
Seddon,House,01/04/2017
Seddon,UniTownhouse,01/04/2017
South Melbourne,UniTownhouse,01/04/2017
South Morang,House,01/04/2017
South Morang,House,01/04/2017
South Morang,House,01/04/2017
South Yarra,House,01/04/2017
South Yarra,UniTownhouse,01/04/2017
South Yarra,UniTownhouse,01/04/2017
Springvale,House,01/04/2017
St Albans,House,01/04/2017
St Kilda,UniTownhouse,01/04/2017
St Kilda,UniTownhouse,01/04/2017
Strathmore,Townhouse,01/04/2017
Strathmore,House,01/04/2017
Sunshine,House,01/04/2017
Sunshine North,House,01/04/2017
Sunshine North,House,01/04/2017
Surrey Hills,House,01/04/2017
Surrey Hills,House,01/04/2017
Sydenham,House,01/04/2017
Sydenham,House,01/04/2017
Taylors Lakes,House,01/04/2017
Templestowe,House,01/04/2017
Templestowe,House,01/04/2017
Templestowe,House,01/04/2017
Templestowe,House,01/04/2017
Templestowe,Townhouse,01/04/2017
Templestowe Lower,House,01/04/2017
Templestowe Lower,House,01/04/2017
Templestowe Lower,House,01/04/2017
Templestowe Lower,House,01/04/2017
Thomastown,House,01/04/2017
Thomastown,House,01/04/2017
Thomastown,House,01/04/2017
Thomastown,UniTownhouse,01/04/2017
Thomastown,House,01/04/2017
Thornbury,House,01/04/2017
Thornbury,House,01/04/2017
Thornbury,House,01/04/2017
Toorak,UniTownhouse,01/04/2017
Toorak,House,01/04/2017
Toorak,UniTownhouse,01/04/2017
Tullamarine,House,01/04/2017
Tullamarine,House,01/04/2017
Wantirna South,House,01/04/2017
Wantirna South,House,01/04/2017
Warrandyte,House,01/04/2017
Werribee,House,01/04/2017
Werribee,House,01/04/2017
West Footscray,House,01/04/2017
West Footscray,House,01/04/2017
West Footscray,House,01/04/2017
West Melbourne,UniTownhouse,01/04/2017
Wheelers Hill,House,01/04/2017
Wheelers Hill,House,01/04/2017
Williamstown,House,01/04/2017
Williamstown,House,01/04/2017
Windsor,House,01/04/2017
Windsor,UniTownhouse,01/04/2017
Wollert,House,01/04/2017
Wollert,House,01/04/2017
Wyndham Vale,House,01/04/2017
Yarraville,House,01/04/2017
Yarraville,House,01/04/2017
Abbotsford,House,01/07/2017
Airport West,UniTownhouse,01/07/2017
Airport West,House,01/07/2017
Airport West,House,01/07/2017
Albert Park,House,01/07/2017
Albion,House,01/07/2017
Alphington,House,01/07/2017
Alphington,House,01/07/2017
Altona North,House,01/07/2017
Ardeer,House,01/07/2017
Ascot Vale,House,01/07/2017
Ashwood,House,01/07/2017
Attwood,House,01/07/2017
Avondale Heights,UniTownhouse,01/07/2017
Balwyn North,House,01/07/2017
Balwyn North,House,01/07/2017
Bayswater,Townhouse,01/07/2017
Beaumaris,House,01/07/2017
Beaumaris,House,01/07/2017
Beaumaris,House,01/07/2017
Bentleigh,House,01/07/2017
Bentleigh East,House,01/07/2017
Blackburn,UniTownhouse,01/07/2017
Blackburn South,House,01/07/2017
Boronia,House,01/07/2017
Briar Hill,House,01/07/2017
Brighton,House,01/07/2017
Broadmeadows,Townhouse,01/07/2017
Broadmeadows,House,01/07/2017
Brooklyn,UniTownhouse,01/07/2017
Brunswick,UniTownhouse,01/07/2017
Brunswick East,House,01/07/2017
Brunswick West,House,01/07/2017
Brunswick West,House,01/07/2017
Brunswick West,House,01/07/2017
Bulleen,House,01/07/2017
Bundoora,House,01/07/2017
Bundoora,House,01/07/2017
Bundoora,Townhouse,01/07/2017
Burnside Heights,House,01/07/2017
Burwood East,House,01/07/2017
Camberwell,UniTownhouse,01/07/2017
Canterbury,UniTownhouse,01/07/2017
Carlton,UniTownhouse,01/07/2017
Carlton,House,01/07/2017
Caulfield South,UniTownhouse,01/07/2017
Cheltenham,House,01/07/2017
Cheltenham,Townhouse,01/07/2017
Cheltenham,House,01/07/2017
Cheltenham,UniTownhouse,01/07/2017
Cheltenham,House,01/07/2017
Clifton Hill,UniTownhouse,01/07/2017
Coburg,UniTownhouse,01/07/2017
Coburg,House,01/07/2017
Craigieburn,House,01/07/2017
Craigieburn,House,01/07/2017
Craigieburn,House,01/07/2017
Craigieburn,House,01/07/2017
Cranbourne,House,01/07/2017
Croydon,House,01/07/2017
Croydon,UniTownhouse,01/07/2017
Croydon,House,01/07/2017
Dandenong,House,01/07/2017
Dandenong,UniTownhouse,01/07/2017
Dandenong North,House,01/07/2017
Diamond Creek,House,01/07/2017
Dingley Village,UniTownhouse,01/07/2017
Doncaster,Townhouse,01/07/2017
Donvale,House,01/07/2017
Donvale,Townhouse,01/07/2017
Doreen,House,01/07/2017
Eaglemont,House,01/07/2017
Edithvale,House,01/07/2017
Eltham,House,01/07/2017
Eltham,House,01/07/2017
Eltham North,House,01/07/2017
Elwood,UniTownhouse,01/07/2017
Elwood,UniTownhouse,01/07/2017
Epping,UniTownhouse,01/07/2017
Epping,House,01/07/2017
Essendon,House,01/07/2017
Essendon,UniTownhouse,01/07/2017
Essendon,Townhouse,01/07/2017
Essendon,UniTownhouse,01/07/2017
Eumemmerring,House,01/07/2017
Eumemmerring,House,01/07/2017
Fairfield,House,01/07/2017
Fawkner,House,01/07/2017
Fawkner,House,01/07/2017
Ferntree Gully,UniTownhouse,01/07/2017
Fitzroy North,House,01/07/2017
Fitzroy North,House,01/07/2017
Footscray,Townhouse,01/07/2017
Forest Hill,House,01/07/2017
Forest Hill,Townhouse,01/07/2017
Frankston,UniTownhouse,01/07/2017
Frankston,House,01/07/2017
Frankston North,House,01/07/2017
Frankston South,House,01/07/2017
Gladstone Park,House,01/07/2017
Glen Iris,House,01/07/2017
Glen Iris,UniTownhouse,01/07/2017
Glen Waverley,House,01/07/2017
Glen Waverley,House,01/07/2017
Glenroy,Townhouse,01/07/2017
Glenroy,Townhouse,01/07/2017
Glenroy,Townhouse,01/07/2017
Greensborough,House,01/07/2017
Greensborough,House,01/07/2017
Greensborough,UniTownhouse,01/07/2017
Hadfield,UniTownhouse,01/07/2017
Hallam,House,01/07/2017
Hampton,House,01/07/2017
Hampton East,House,01/07/2017
Hawthorn,House,01/07/2017
Hawthorn,UniTownhouse,01/07/2017
Hawthorn,UniTownhouse,01/07/2017
Hawthorn,UniTownhouse,01/07/2017
Hawthorn,House,01/07/2017
Hawthorn,UniTownhouse,01/07/2017
Heidelberg,House,01/07/2017
Heidelberg Heights,House,01/07/2017
Heidelberg West,House,01/07/2017
Heidelberg West,House,01/07/2017
Highett,UniTownhouse,01/07/2017
Hoppers Crossing,House,01/07/2017
Hoppers Crossing,House,01/07/2017
Hoppers Crossing,House,01/07/2017
Huntingdale,House,01/07/2017
Ivanhoe,House,01/07/2017
Ivanhoe East,House,01/07/2017
Jacana,Townhouse,01/07/2017
Keilor Downs,House,01/07/2017
Keilor Downs,House,01/07/2017
Keilor Downs,House,01/07/2017
Kensington,Townhouse,01/07/2017
Kew,House,01/07/2017
Kew,House,01/07/2017
Kew East,UniTownhouse,01/07/2017
Keysborough,House,01/07/2017
Keysborough,House,01/07/2017
Kingsville,House,01/07/2017
Lalor,House,01/07/2017
Lalor,House,01/07/2017
Lalor,UniTownhouse,01/07/2017
Lower Plenty,House,01/07/2017
Lynbrook,House,01/07/2017
MacLeod,UniTownhouse,01/07/2017
Maidstone,Townhouse,01/07/2017
Maidstone,Townhouse,01/07/2017
Malvern East,House,01/07/2017
Malvern East,House,01/07/2017
Melton South,House,01/07/2017
Mentone,Townhouse,01/07/2017
Mernda,House,01/07/2017
Mernda,House,01/07/2017
Mill Park,UniTownhouse,01/07/2017
Mill Park,House,01/07/2017
Mitcham,House,01/07/2017
Mitcham,Townhouse,01/07/2017
Mont Albert,House,01/07/2017
Mont Albert,House,01/07/2017
Montmorency,House,01/07/2017
Moonee Ponds,House,01/07/2017
Moonee Ponds,House,01/07/2017
Moonee Ponds,House,01/07/2017
Mordialloc,House,01/07/2017
Mount Waverley,House,01/07/2017
Mount Waverley,House,01/07/2017
Mount Waverley,House,01/07/2017
Mount Waverley,House,01/07/2017
Mount Waverley,House,01/07/2017
Mount Waverley,House,01/07/2017
Newport,House,01/07/2017
Newport,House,01/07/2017
Noble Park,UniTownhouse,01/07/2017
North Melbourne,UniTownhouse,01/07/2017
North Melbourne,House,01/07/2017
North Melbourne,Townhouse,01/07/2017
Northcote,House,01/07/2017
Northcote,House,01/07/2017
Northcote,UniTownhouse,01/07/2017
Nunawading,UniTownhouse,01/07/2017
Nunawading,House,01/07/2017
Nunawading,House,01/07/2017
Oak Park,Townhouse,01/07/2017
Oakleigh East,House,01/07/2017
Oakleigh South,House,01/07/2017
Oakleigh South,UniTownhouse,01/07/2017
Ormond,UniTownhouse,01/07/2017
Ormond,UniTownhouse,01/07/2017
Parkdale,Townhouse,01/07/2017
Parkdale,House,01/07/2017
Parkdale,House,01/07/2017
Pascoe Vale,House,01/07/2017
Pascoe Vale,House,01/07/2017
Point Cook,House,01/07/2017
Point Cook,House,01/07/2017
Port Melbourne,UniTownhouse,01/07/2017
Port Melbourne,House,01/07/2017
Prahran,UniTownhouse,01/07/2017
Prahran,UniTownhouse,01/07/2017
Preston,House,01/07/2017
Preston,House,01/07/2017
Preston,Townhouse,01/07/2017
Princes Hill,House,01/07/2017
Princes Hill,House,01/07/2017
Reservoir,House,01/07/2017
Reservoir,House,01/07/2017
Reservoir,House,01/07/2017
Reservoir,House,01/07/2017
Reservoir,Townhouse,01/07/2017
Richmond,House,01/07/2017
Richmond,House,01/07/2017
Richmond,House,01/07/2017
Richmond,UniTownhouse,01/07/2017
Richmond,House,01/07/2017
Ringwood East,UniTownhouse,01/07/2017
Rosanna,House,01/07/2017
Rowville,House,01/07/2017
Rowville,House,01/07/2017
Roxburgh Park,House,01/07/2017
Sandringham,UniTownhouse,01/07/2017
Seabrook,House,01/07/2017
Seaford,House,01/07/2017
Seaford,House,01/07/2017
Seaford,UniTownhouse,01/07/2017
Seaholme,Townhouse,01/07/2017
Seddon,House,01/07/2017
South Melbourne,House,01/07/2017
South Morang,UniTownhouse,01/07/2017
South Yarra,UniTownhouse,01/07/2017
South Yarra,House,01/07/2017
South Yarra,UniTownhouse,01/07/2017
South Yarra,UniTownhouse,01/07/2017
Springvale,House,01/07/2017
St Albans,House,01/07/2017
St Helena,House,01/07/2017
St Kilda,UniTownhouse,01/07/2017
Strathmore,House,01/07/2017
Strathmore Heights,House,01/07/2017
Sunbury,House,01/07/2017
Sunbury,House,01/07/2017
Sunbury,House,01/07/2017
Sunbury,House,01/07/2017
Sunshine,Townhouse,01/07/2017
Sunshine West,House,01/07/2017
Surrey Hills,House,01/07/2017
Sydenham,House,01/07/2017
Tarneit,House,01/07/2017
Tarneit,House,01/07/2017
Taylors Hill,House,01/07/2017
Taylors Lakes,House,01/07/2017
Thomastown,UniTownhouse,01/07/2017
Toorak,House,01/07/2017
Tullamarine,House,01/07/2017
Vermont,Townhouse,01/07/2017
Viewbank,House,01/07/2017
Viewbank,UniTownhouse,01/07/2017
Werribee,House,01/07/2017
Werribee,House,01/07/2017
Werribee,House,01/07/2017
Werribee,House,01/07/2017
Werribee South,House,01/07/2017
West Footscray,House,01/07/2017
Westmeadows,House,01/07/2017
Williams Landing,House,01/07/2017
Wollert,UniTownhouse,01/07/2017
Wollert,House,01/07/2017
Wyndham Vale,House,01/07/2017
Wyndham Vale,House,01/07/2017
Ascot Vale,House,01/09/2018
Ashwood,Townhouse,01/09/2018
Balwyn North,House,01/09/2018
Balwyn North,House,01/09/2018
Bayswater,UniTownhouse,01/09/2018
Bayswater,House,01/09/2018
Beaumaris,UniTownhouse,01/09/2018
Beaumaris,House,01/09/2018
Beaumaris,House,01/09/2018
Bentleigh,House,01/09/2018
Bentleigh,Townhouse,01/09/2018
Bentleigh,House,01/09/2018
Bentleigh East,Townhouse,01/09/2018
Bentleigh East,House,01/09/2018
Bentleigh East,House,01/09/2018
Bentleigh East,Townhouse,01/09/2018
Bentleigh East,House,01/09/2018
Black Rock,House,01/09/2018
Blackburn,UniTownhouse,01/09/2018
Blackburn North,House,01/09/2018
Box Hill,House,01/09/2018
Brighton,UniTownhouse,01/09/2018
Brunswick,House,01/09/2018
Brunswick,House,01/09/2018
Brunswick West,UniTownhouse,01/09/2018
Brunswick West,House,01/09/2018
Brunswick West,UniTownhouse,01/09/2018
Bulleen,House,01/09/2018
Bulleen,House,01/09/2018
Bundoora,House,01/09/2018
Bundoora,House,01/09/2018
Bundoora,House,01/09/2018
Bundoora,House,01/09/2018
Burwood East,House,01/09/2018
Carlton,UniTownhouse,01/09/2018
Carlton,House,01/09/2018
Cheltenham,UniTownhouse,01/09/2018
Clayton,House,01/09/2018
Clayton South,House,01/09/2018
Coburg,House,01/09/2018
Coburg North,House,01/09/2018
Craigieburn,House,01/09/2018
Craigieburn,House,01/09/2018
Craigieburn,House,01/09/2018
Croydon South,House,01/09/2018
Dallas,House,01/09/2018
Doncaster East,UniTownhouse,01/09/2018
Doncaster East,House,01/09/2018
Elsternwick,Townhouse,01/09/2018
Elwood,UniTownhouse,01/09/2018
Elwood,UniTownhouse,01/09/2018
Elwood,UniTownhouse,01/09/2018
Epping,House,01/09/2018
Essendon,UniTownhouse,01/09/2018
Essendon,House,01/09/2018
Essendon,House,01/09/2018
Essendon North,House,01/09/2018
Essendon West,House,01/09/2018
Essendon West,House,01/09/2018
Fawkner,UniTownhouse,01/09/2018
Ferntree Gully,House,01/09/2018
Fitzroy,House,01/09/2018
Fitzroy North,House,01/09/2018
Forest Hill,Townhouse,01/09/2018
Gladstone Park,House,01/09/2018
Glen Iris,UniTownhouse,01/09/2018
Glen Iris,House,01/09/2018
Glen Iris,House,01/09/2018
Glen Waverley,House,01/09/2018
Glen Waverley,House,01/09/2018
Glen Waverley,House,01/09/2018
Glen Waverley,House,01/09/2018
Glen Waverley,House,01/09/2018
Glenroy,Townhouse,01/09/2018
Glenroy,UniTownhouse,01/09/2018
Greenvale,House,01/09/2018
Hadfield,House,01/09/2018
Hadfield,House,01/09/2018
Hampton,UniTownhouse,01/09/2018
Hampton,House,01/09/2018
Hawthorn,UniTownhouse,01/09/2018
Heathmont,House,01/09/2018
Heidelberg Heights,House,01/09/2018
Heidelberg West,House,01/09/2018
Heidelberg West,House,01/09/2018
Highett,Townhouse,01/09/2018
Ivanhoe,House,01/09/2018
Jacana,House,01/09/2018
Keilor,House,01/09/2018
Keilor Downs,House,01/09/2018
Keilor East,House,01/09/2018
Keilor Park,House,01/09/2018
Kew,House,01/09/2018
Kew,House,01/09/2018
Kew East,House,01/09/2018
Keysborough,House,01/09/2018
Kings Park,House,01/09/2018
Kingsville,House,01/09/2018
Knoxfield,House,01/09/2018
Lalor,House,01/09/2018
Lalor,House,01/09/2018
Lalor,House,01/09/2018
Maidstone,UniTownhouse,01/09/2018
Malvern,UniTownhouse,01/09/2018
Melbourne,UniTownhouse,01/09/2018
Melbourne,UniTownhouse,01/09/2018
Melbourne,UniTownhouse,01/09/2018
Mentone,UniTownhouse,01/09/2018
Mentone,Townhouse,01/09/2018
Mentone,Townhouse,01/09/2018
Mernda,House,01/09/2018
Mernda,House,01/09/2018
Mernda,House,01/09/2018
Mernda,House,01/09/2018
Mernda,House,01/09/2018
Mill Park,House,01/09/2018
Mill Park,House,01/09/2018
Mill Park,House,01/09/2018
Mill Park,House,01/09/2018
Mitcham,House,01/09/2018
Montmorency,UniTownhouse,01/09/2018
Moonee Ponds,House,01/09/2018
Moorabbin,Townhouse,01/09/2018
Mount Waverley,House,01/09/2018
Mount Waverley,House,01/09/2018
Mount Waverley,House,01/09/2018
Mount Waverley,House,01/09/2018
Mulgrave,House,01/09/2018
Mulgrave,House,01/09/2018
Murrumbeena,UniTownhouse,01/09/2018
Murrumbeena,UniTownhouse,01/09/2018
Newport,House,01/09/2018
Northcote,House,01/09/2018
Nunawading,House,01/09/2018
Ormond,Townhouse,01/09/2018
Parkdale,House,01/09/2018
Parkdale,UniTownhouse,01/09/2018
Pascoe Vale,UniTownhouse,01/09/2018
Port Melbourne,House,01/09/2018
Prahran,UniTownhouse,01/09/2018
Prahran,House,01/09/2018
Prahran,House,01/09/2018
Prahran,House,01/09/2018
Prahran,House,01/09/2018
