Suburb,Rooms,Type,Price,Date,Postcode,Car,Lattitude,Longtitude,Propertycount
Armadale,2,u,490000,18/06/2016,3143,1,-37.8646,145.0247,4836
Armadale,2,u,872000,25/02/2017,3143,1,-37.8604,145.0147,4836
Armadale,2,u,598000,25/02/2017,3143,1,-37.8593,145.0156,4836
Armadale,3,h,1285000,25/02/2017,3143,2,-37.8554,145.0173,4836
Armadale,4,h,3660000,25/02/2017,3143,2,-37.8593,145.0275,4836
Ascot Vale,2,u,490000,04/03/2017,3032,1,-37.7736,144.9015,6567
Ascot Vale,4,h,1850000,04/03/2017,3032,1,-37.7729,144.9179,6567
Ascot Vale,3,h,1284000,04/03/2017,3032,2,-37.7758,144.9089,6567
Ascot Vale,3,h,971000,04/06/2016,3032,2,-37.775,144.9091,6567
Ascot Vale,3,h,1440000,11/02/2017,3032,1,-37.7725,144.9146,6567
Ascot Vale,2,h,955000,11/03/2017,3032,0,-37.7825,144.9208,6567
Ascot Vale,2,u,450000,12/11/2016,3032,1,-37.7731,144.9074,6567
Ascot Vale,3,h,1350000,18/03/2017,3032,3,-37.7828,144.9049,6567
Ascot Vale,5,h,1905000,18/03/2017,3032,2,-37.7778,144.9261,6567
Ascot Vale,2,t,865000,18/03/2017,3032,1,-37.7713,144.9038,6567
Ascot Vale,2,t,705000,18/06/2016,3032,1,-37.7712,144.9088,6567
Ascot Vale,2,u,390000,25/02/2017,3032,1,-37.7731,144.9074,6567
Ascot Vale,4,h,1345000,25/02/2017,3032,1,-37.7769,144.9138,6567
Ascot Vale,3,h,1381500,25/02/2017,3032,2,-37.7727,144.9055,6567
Ascot Vale,3,h,940000,26/07/2016,3032,2,-37.7778,144.9061,6567
Ashburton,2,h,1575000,04/03/2017,3147,2,-37.869,145.0822,3052
Ashburton,5,h,3510000,18/03/2017,3147,2,-37.8598,145.0796,3052
Ashburton,4,h,1800000,25/02/2017,3147,4,-37.8669,145.077,3052
Ashburton,3,h,1830000,25/02/2017,3147,3,-37.8619,145.0879,3052
Ashburton,3,h,1415000,27/06/2016,3147,1,-37.8703,145.0774,3052
Ashwood,4,h,1200000,04/03/2017,3147,2,-37.8716,145.0999,2894
Ashwood,2,h,1075000,04/06/2016,3147,2,-37.8694,145.0944,2894
Ashwood,2,u,600000,18/03/2017,3147,1,-37.8696,145.0962,2894
Ashwood,3,h,855000,25/02/2017,3147,1,-37.87,145.1103,2894
Avondale Heights,4,h,806000,04/03/2017,3034,1,-37.7676,144.859,4502
Avondale Heights,4,h,1155000,04/06/2016,3034,2,-37.7654,144.8655,4502
Avondale Heights,2,t,585000,11/02/2017,3034,1,-37.7623,144.8613,4502
Avondale Heights,3,h,850000,18/03/2017,3034,2,-37.7522,144.8518,4502
Avondale Heights,3,h,875000,25/02/2017,3034,3,-37.765,144.8578,4502
Avondale Heights,3,h,850000,25/02/2017,3034,8,-37.751,144.8571,4502
Avondale Heights,3,h,635000,26/07/2016,3034,1,-37.7568,144.8572,4502
Balaclava,3,h,1193000,18/06/2016,3183,1,-37.8663,144.9948,2952
Balaclava,3,h,1690000,25/02/2017,3183,2,-37.872,144.9909,2952
Balwyn,2,u,812000,04/03/2017,3103,1,-37.8092,145.0778,5682
Balwyn,3,h,1140000,04/06/2016,3103,2,-37.8162,145.0771,5682
Balwyn,4,t,1400000,12/11/2016,3103,2,-37.8042,145.1042,5682
Balwyn,5,h,3000000,18/06/2016,3103,2,-37.8025,145.0665,5682
Balwyn,4,h,2275000,25/02/2017,3103,1,-37.8054,145.0771,5682
Balwyn,5,h,2810000,25/02/2017,3103,4,-37.8131,145.1,5682
Balwyn,3,t,1385000,25/02/2017,3103,2,-37.8164,145.0846,5682
Balwyn North,3,h,2000000,04/03/2017,3104,3,-37.7938,145.0732,7809
Balwyn North,4,h,1750000,04/03/2017,3104,2,-37.7856,145.0918,7809
Balwyn North,3,h,1450000,04/03/2017,3104,2,-37.7862,145.0781,7809
Balwyn North,4,h,2614000,04/03/2017,3104,2,-37.7959,145.0787,7809
Balwyn North,4,h,1825000,04/03/2017,3104,3,-37.7944,145.1028,7809
Balwyn North,4,h,2550000,04/03/2017,3104,4,-37.7954,145.0838,7809
Balwyn North,4,h,1670000,11/03/2017,3104,2,-37.7871,145.0843,7809
Balwyn North,5,h,1500000,12/06/2016,3104,1,-37.8023,145.0976,7809
Balwyn North,4,h,1670000,18/03/2017,3104,4,-37.7908,145.101,7809
Balwyn North,2,h,1350000,18/03/2017,3104,2,-37.7945,145.067,7809
Balwyn North,4,h,1675000,18/03/2017,3104,2,-37.7835,145.0883,7809
Balwyn North,4,t,1680000,18/03/2017,3104,1,-37.7987,145.0788,7809
Balwyn North,3,h,1520000,25/02/2017,3104,2,-37.7882,145.0882,7809
Balwyn North,4,h,1250000,25/02/2017,3104,2,-37.7997,145.0993,7809
Balwyn North,6,h,1900000,25/02/2017,3104,2,-37.7842,145.0921,7809
Balwyn North,5,h,1875000,27/06/2016,3104,2,-37.7854,145.0869,7809
Bentleigh,4,h,1260000,04/03/2017,3204,2,-37.9232,145.0502,6795
Bentleigh,4,h,2700000,04/06/2016,3204,2,-37.9155,145.0401,6795
Bentleigh,2,u,420000,12/11/2016,3204,0,-37.9158,145.0379,6795
Bentleigh,3,t,825000,18/03/2017,3204,2,-37.9317,145.0352,6795
Bentleigh,3,t,1235000,18/03/2017,3204,2,-37.9289,145.0478,6795
Bentleigh,5,h,1600000,18/06/2016,3204,2,-37.9168,145.04,6795
Bentleigh,5,h,1900000,25/02/2017,3204,2,-37.9144,145.0401,6795
Bentleigh,3,h,1230000,25/02/2017,3204,2,-37.9161,145.0284,6795
Bentleigh,4,h,1150000,25/02/2017,3204,2,-37.9155,145.0301,6795
Bentleigh East,4,h,1190000,04/03/2017,3165,3,-37.9166,145.0719,10969
Bentleigh East,4,h,1270000,04/03/2017,3165,1,-37.9174,145.0717,10969
Bentleigh East,3,u,1025000,04/03/2017,3165,2,-37.9229,145.0557,10969
Bentleigh East,3,u,740000,04/03/2017,3165,1,-37.9244,145.0547,10969
Bentleigh East,4,h,1960000,04/03/2017,3165,4,-37.9234,145.0533,10969
Bentleigh East,3,t,1030000,18/03/2017,3165,2,-37.9195,145.0555,10969
Bentleigh East,3,t,970000,18/03/2017,3165,2,-37.9176,145.0566,10969
Bentleigh East,3,h,930000,18/03/2017,3165,2,-37.9369,145.0751,10969
Bentleigh East,4,h,1510000,18/03/2017,3165,2,-37.9198,145.0545,10969
Bentleigh East,3,t,1240000,18/03/2017,3165,2,-37.9316,145.0542,10969
Bentleigh East,3,h,823000,18/03/2017,3165,2,-37.9079,145.0707,10969
Bentleigh East,4,h,1310000,18/03/2017,3165,2,-37.9147,145.0645,10969
Bentleigh East,4,h,1475000,18/03/2017,3165,2,-37.9272,145.0786,10969
Bentleigh East,4,t,950000,18/03/2017,3165,1,-37.9133,145.0837,10969
Bentleigh East,4,t,1045000,18/06/2016,3165,1,-37.9198,145.0789,10969
Bentleigh East,3,u,770000,25/02/2017,3165,1,-37.9257,145.0811,10969
Bentleigh East,3,h,1110000,25/02/2017,3165,6,-37.9272,145.0705,10969
Bentleigh East,1,u,380000,25/02/2017,3165,1,-37.9315,145.0619,10969
Bentleigh East,4,h,1175000,25/02/2017,3165,2,-37.9281,145.0669,10969
Bentleigh East,3,h,1200000,25/02/2017,3165,1,-37.916,145.0776,10969
Bentleigh East,4,h,1370000,25/02/2017,3165,2,-37.9147,145.0751,10969
Bentleigh East,4,h,1433500,25/02/2017,3165,1,-37.9289,145.0502,10969
Bentleigh East,2,h,1630000,25/02/2017,3165,2,-37.9135,145.0557,10969
Bentleigh East,3,h,1360000,25/02/2017,3165,3,-37.9233,145.0616,10969
Bentleigh East,4,h,900000,26/07/2016,3165,2,-37.9229,145.0673,10969
Box Hill,2,u,790000,04/03/2017,3128,1,-37.826,145.129,4605
Box Hill,4,h,880000,04/03/2017,3128,2,-37.828,145.1215,4605
Box Hill,1,u,340000,18/03/2017,3128,1,-37.8215,145.1214,4605
Box Hill,3,h,4000000,18/06/2016,3128,2,-37.8166,145.1215,4605
Braybrook,3,u,495000,04/06/2016,3019,1,-37.7851,144.8517,3589
Braybrook,2,h,670000,13/08/2016,3019,2,-37.7825,144.8545,3589
Braybrook,3,h,696000,18/03/2017,3019,0,-37.7899,144.8515,3589
Braybrook,2,h,660000,19/11/2016,3019,1,-37.7908,144.8522,3589
Braybrook,3,h,765000,25/02/2017,3019,1,-37.7905,144.8485,3589
Braybrook,2,t,475000,25/02/2017,3019,1,-37.7948,144.854,3589
Braybrook,4,h,550000,26/07/2016,3019,1,-37.7775,144.855,3589
Brighton,2,u,1300000,04/03/2017,3186,1,-37.8954,145.0026,10579
Brighton,3,h,1390000,04/03/2017,3186,2,-37.9205,145.0007,10579
Brighton,4,h,4250000,04/03/2017,3186,2,-37.8966,144.993,10579
Brighton,4,h,2905000,04/03/2017,3186,1,-37.8926,144.9991,10579
Brighton,2,u,1300000,04/03/2017,3186,2,-37.9172,145.004,10579
Brighton,3,t,1725000,04/03/2017,3186,2,-37.918,145.0035,10579
Brighton,3,h,2266000,04/03/2017,3186,2,-37.9243,144.9989,10579
Brighton,4,h,2910000,04/06/2016,3186,2,-37.9136,144.9886,10579
Brighton,2,u,858000,18/03/2017,3186,1,-37.8958,144.9982,10579
Brighton,3,t,1427000,18/03/2017,3186,1,-37.9206,145,10579
Brighton,3,t,2517500,18/03/2017,3186,2,-37.9148,145.0009,10579
Brighton,4,h,2800000,18/03/2017,3186,4,-37.8962,145.0011,10579
Brighton,2,t,1230000,25/02/2017,3186,2,-37.905,144.9959,10579
Brighton,3,h,2375000,25/02/2017,3186,2,-37.9152,144.993,10579
Brighton,2,t,1037000,25/02/2017,3186,2,-37.9078,145.0051,10579
Brighton,4,h,3050000,25/02/2017,3186,2,-37.8989,145.0008,10579
Brighton,4,t,1630000,25/02/2017,3186,2,-37.9228,145.0022,10579
Brighton,2,h,1701000,25/02/2017,3186,2,-37.9118,145.0041,10579
Brighton,2,u,760000,25/02/2017,3186,2,-37.914,145.003,10579
Brighton,4,h,2640000,26/07/2016,3186,2,-37.9234,145.0042,10579
Brighton East,3,t,1302500,04/03/2017,3187,2,-37.9179,145.0091,6938
Brighton East,2,h,1445000,04/03/2017,3187,1,-37.9153,145.0142,6938
Brighton East,2,h,980000,04/06/2016,3187,1,-37.917,145.0137,6938
Brighton East,4,h,1920000,11/02/2017,3187,1,-37.931,145.0163,6938
Brighton East,3,h,1301000,12/11/2016,3187,2,-37.9062,145.0173,6938
Brighton East,2,u,770000,18/03/2017,3187,2,-37.911,145.0236,6938
Brighton East,4,h,2200000,18/06/2016,3187,2,-37.9292,145.0236,6938
Brighton East,1,u,340000,25/02/2017,3187,1,-37.9164,145.0228,6938
Brighton East,3,h,1537000,25/02/2017,3187,2,-37.9034,145.017,6938
Brighton East,3,h,1100000,25/02/2017,3187,1,-37.9108,145.0121,6938
Brighton East,2,h,994000,25/02/2017,3187,2,-37.9013,145.0072,6938
Brighton East,4,h,1447000,25/02/2017,3187,2,-37.9286,145.0274,6938
Brighton East,2,u,692000,26/07/2016,3187,1,-37.9207,145.0079,6938
Brunswick,4,h,2230000,04/03/2017,3056,3,-37.7637,144.9662,11918
Brunswick,3,h,1050000,04/06/2016,3056,2,-37.7611,144.9644,11918
Brunswick,2,h,1105000,11/02/2017,3056,1,-37.7702,144.9692,11918
Brunswick,2,h,1260000,11/02/2017,3056,1,-37.7631,144.9534,11918
Brunswick,3,t,955000,11/02/2017,3056,2,-37.7636,144.9559,11918
Brunswick,1,t,895000,11/02/2017,3056,0,-37.7717,144.9679,11918
Brunswick,2,h,1094000,11/03/2017,3056,2,-37.7672,144.9496,11918
Brunswick,3,h,1135000,11/03/2017,3056,1,-37.7758,144.9508,11918
Brunswick,2,h,792000,12/11/2016,3056,1,-37.7597,144.9528,11918
Brunswick,3,h,1260000,18/03/2017,3056,6,-37.7757,144.9505,11918
Brunswick,3,h,1650000,18/03/2017,3056,2,-37.7702,144.9672,11918
Brunswick,2,u,601000,18/03/2017,3056,1,-37.7778,144.9594,11918
Brunswick,1,h,800000,18/03/2017,3056,4,-37.7577,144.9524,11918
Brunswick,2,h,1015000,18/03/2017,3056,0,-37.762,144.9547,11918
Brunswick,3,h,1410000,18/03/2017,3056,1,-37.7756,144.9697,11918
Brunswick,1,t,625000,18/06/2016,3056,1,-37.7661,144.9614,11918
Brunswick,3,h,1510000,25/02/2017,3056,0,-37.7621,144.9595,11918
Brunswick,2,t,801000,25/02/2017,3056,1,-37.7744,144.9498,11918
Brunswick,3,t,820000,25/02/2017,3056,2,-37.7687,144.9649,11918
Brunswick,1,u,370000,26/07/2016,3056,1,-37.7766,144.9574,11918
Brunswick West,2,u,471000,04/03/2017,3055,1,-37.7665,144.9425,7082
Brunswick West,2,u,473000,04/06/2016,3055,2,-37.7682,144.9422,7082
Brunswick West,3,t,797500,11/02/2017,3055,2,-37.7519,144.9324,7082
Brunswick West,2,u,435000,12/06/2016,3055,1,-37.7727,144.9497,7082
Brunswick West,2,u,656000,18/03/2017,3055,1,-37.7609,144.9425,7082
Brunswick West,2,u,370000,18/03/2017,3055,1,-37.7524,144.9347,7082
Brunswick West,1,u,320000,18/06/2016,3055,1,-37.7661,144.9422,7082
Brunswick West,4,h,1700000,25/02/2017,3055,2,-37.7764,144.9479,7082
Brunswick West,2,h,820000,26/07/2016,3055,1,-37.7604,144.9488,7082
Bulleen,5,h,1336000,04/03/2017,3105,3,-37.7683,145.0881,4480
Bulleen,3,h,880000,04/06/2016,3105,2,-37.7683,145.0959,4480
Bulleen,4,h,1280000,11/03/2017,3105,2,-37.7615,145.0897,4480
Bulleen,4,h,1300000,18/03/2017,3105,2,-37.7791,145.086,4480
Bulleen,4,h,1250000,18/03/2017,3105,2,-37.7771,145.0855,4480
Bulleen,4,h,976000,18/06/2016,3105,1,-37.7786,145.0945,4480
Bulleen,2,h,903000,26/07/2016,3105,1,-37.7679,145.0978,4480
Burwood,3,u,686000,04/03/2017,3125,2,-37.8473,145.1203,5678
Burwood,3,h,1468000,11/02/2017,3125,2,-37.8509,145.1161,5678
Burwood,2,u,650000,11/03/2017,3125,1,-37.8509,145.1119,5678
Burwood,5,h,1060000,12/06/2016,3125,2,-37.8528,145.1129,5678
Burwood,5,h,1410000,18/03/2017,3125,1,-37.8535,145.1139,5678
Burwood,4,h,1410000,27/06/2016,3125,3,-37.8552,145.1292,5678
Camberwell,5,h,2860000,04/03/2017,3124,4,-37.842,145.0888,8920
Camberwell,2,h,950000,04/06/2016,3124,2,-37.8448,145.0723,8920
Camberwell,3,h,2000000,12/06/2016,3124,2,-37.8459,145.0644,8920
Camberwell,2,u,805000,18/03/2017,3124,2,-37.8442,145.0668,8920
Camberwell,4,h,2228000,18/03/2017,3124,2,-37.8405,145.0903,8920
Camberwell,3,t,930000,18/03/2017,3124,2,-37.8489,145.088,8920
Camberwell,2,u,590000,18/03/2017,3124,1,-37.847,145.0672,8920
Camberwell,4,h,4760000,18/03/2017,3124,2,-37.8238,145.0624,8920
Camberwell,3,h,1602500,18/03/2017,3124,1,-37.8448,145.071,8920
Camberwell,3,h,3400000,25/02/2017,3124,4,-37.8437,145.0623,8920
Camberwell,2,h,1470000,25/02/2017,3124,2,-37.8393,145.0662,8920
Camberwell,2,u,820000,25/02/2017,3124,1,-37.8439,145.0662,8920
Camberwell,3,h,2105000,25/02/2017,3124,2,-37.8379,145.0849,8920
Camberwell,3,t,1625000,25/02/2017,3124,2,-37.8362,145.064,8920
Camberwell,3,h,1750000,25/02/2017,3124,3,-37.8328,145.0679,8920
Camberwell,3,h,3300000,25/02/2017,3124,2,-37.831,145.0621,8920
Canterbury,4,t,1550000,04/03/2017,3126,4,-37.822,145.0864,3265
Canterbury,2,h,765000,04/03/2017,3126,1,-37.8295,145.0774,3265
Canterbury,2,u,722000,12/11/2016,3126,1,-37.8205,145.0828,3265
Canterbury,3,h,1385000,18/06/2016,3126,1,-37.826,145.0734,3265
Carlton North,4,h,1425000,04/03/2017,3054,0,-37.7893,144.9696,3106
Carlton North,2,h,1725000,04/03/2017,3054,1,-37.7844,144.972,3106
Carlton North,3,h,1280000,06/08/2016,3054,0,-37.7824,144.9733,3106
Carlton North,1,u,468000,11/03/2017,3054,1,-37.7851,144.9723,3106
Carlton North,2,h,2400000,12/11/2016,3054,0,-37.7875,144.9759,3106
Carlton North,3,h,2050000,18/03/2017,3054,0,-37.7879,144.9736,3106
Carlton North,2,h,910000,18/06/2016,3054,1,-37.7879,144.9759,3106
Carnegie,1,u,255000,04/03/2017,3163,1,-37.8875,145.0599,7822
Carnegie,2,h,890000,04/03/2017,3163,1,-37.8957,145.0528,7822
Carnegie,1,u,346000,04/03/2017,3163,1,-37.8965,145.0618,7822
Carnegie,3,t,860000,04/03/2017,3163,1,-37.8972,145.0642,7822
Carnegie,2,u,586000,04/03/2017,3163,1,-37.9003,145.0634,7822
Carnegie,2,u,772000,04/06/2016,3163,2,-37.8863,145.066,7822
Carnegie,2,u,465000,11/02/2017,3163,1,-37.8881,145.0558,7822
Carnegie,3,h,1646000,11/03/2017,3163,2,-37.8909,145.0648,7822
Carnegie,2,u,460000,12/06/2016,3163,1,-37.8936,145.056,7822
Carnegie,3,h,1287000,18/03/2017,3163,1,-37.9031,145.0578,7822
Carnegie,2,u,656000,18/06/2016,3163,1,-37.8873,145.0559,7822
Carnegie,4,h,1410000,25/02/2017,3163,3,-37.9011,145.051,7822
Carnegie,2,u,405000,25/02/2017,3163,1,-37.8843,145.0531,7822
Carnegie,4,h,1655000,25/02/2017,3163,2,-37.8916,145.0543,7822
Carnegie,3,h,1910000,25/02/2017,3163,1,-37.8922,145.0544,7822
Carnegie,3,t,808000,25/02/2017,3163,1,-37.8889,145.0495,7822
Carnegie,3,h,1252000,25/02/2017,3163,1,-37.8896,145.0492,7822
Carnegie,2,u,370000,26/07/2016,3163,1,-37.8959,145.0639,7822
Caulfield,2,u,550000,04/03/2017,3162,1,-37.8852,145.024,2379
Caulfield North,2,u,580000,04/03/2017,3161,1,-37.8607,145.0116,6923
Caulfield North,3,h,2005000,07/05/2016,3161,3,-37.8694,145.0296,6923
Caulfield North,2,u,450000,18/03/2017,3161,1,-37.8647,145.0232,6923
Caulfield North,2,u,622000,25/02/2017,3161,1,-37.8607,145.0116,6923
Caulfield North,2,u,536000,25/02/2017,3161,1,-37.8686,145.0239,6923
Caulfield North,4,h,2625000,25/02/2017,3161,3,-37.8696,145.0323,6923
Caulfield North,2,u,570000,28/05/2016,3161,2,-37.8652,145.0198,6923
Caulfield South,2,h,1065000,04/03/2017,3162,1,-37.895,145.022,5051
Caulfield South,3,h,1200000,25/02/2017,3162,2,-37.9027,145.0322,5051
Caulfield South,3,h,1570000,25/02/2017,3162,2,-37.8889,145.0151,5051
Caulfield South,2,h,1001000,26/07/2016,3162,1,-37.8887,145.0207,5051
Chadstone,3,u,700000,04/06/2016,3148,1,-37.8738,145.1054,3582
Chadstone,4,t,1042500,11/02/2017,3148,2,-37.8805,145.105,3582
Chadstone,2,h,1002000,13/08/2016,3148,1,-37.8792,145.0948,3582
Chadstone,3,h,1301000,18/03/2017,3148,2,-37.8812,145.105,3582
Chadstone,4,h,1260000,25/02/2017,3148,2,-37.8845,145.1027,3582
Clifton Hill,2,h,780000,04/06/2016,3068,1,-37.7934,144.9922,2954
Clifton Hill,2,h,1450000,18/03/2017,3068,0,-37.7892,144.9999,2954
Clifton Hill,2,h,856000,18/03/2017,3068,0,-37.7936,144.995,2954
Clifton Hill,2,u,885500,18/06/2016,3068,2,-37.7937,144.9983,2954
Clifton Hill,2,h,1430000,25/02/2017,3068,0,-37.7912,144.9963,2954
Clifton Hill,4,h,1506000,25/02/2017,3068,0,-37.7885,144.9994,2954
Clifton Hill,3,h,1150000,26/07/2016,3068,1,-37.7925,144.9877,2954
Coburg,3,h,1010000,04/03/2017,3058,1,-37.7494,144.9686,11204
Coburg,3,h,1202000,04/03/2017,3058,2,-37.7493,144.9559,11204
Coburg,3,h,1370000,04/03/2017,3058,1,-37.7549,144.9611,11204
Coburg,2,h,550000,04/03/2017,3058,1,-37.7358,144.9801,11204
Coburg,3,h,1000000,04/03/2017,3058,3,-37.744,144.9501,11204
Coburg,3,h,935500,04/03/2017,3058,2,-37.7364,144.96,11204
Coburg,8,u,2250000,04/03/2017,3058,4,-37.7517,144.9699,11204
Coburg,2,t,635000,18/03/2017,3058,1,-37.7516,144.9623,11204
Coburg,3,h,1061000,18/03/2017,3058,1,-37.7359,144.9502,11204
Coburg,4,h,1155000,18/03/2017,3058,2,-37.7431,144.956,11204
Coburg,4,h,650000,18/06/2016,3058,2,-37.7362,144.9714,11204
Coburg,5,h,1020000,25/02/2017,3058,4,-37.7492,144.969,11204
Coburg,3,h,967000,25/02/2017,3058,1,-37.7494,144.9681,11204
Coburg,3,h,1025000,25/02/2017,3058,3,-37.7408,144.9558,11204
Coburg,3,h,700000,25/02/2017,3058,1,-37.7406,144.9555,11204
Coburg,3,h,1130000,25/02/2017,3058,3,-37.7382,144.9563,11204
Coburg,3,h,835000,25/02/2017,3058,2,-37.7376,144.9638,11204
Coburg,4,h,1075000,25/02/2017,3058,4,-37.7473,144.9528,11204
Coburg,3,h,845000,25/02/2017,3058,1,-37.748,144.9603,11204
Coburg,3,t,600000,25/02/2017,3058,1,-37.736,144.9665,11204
Coburg,4,h,1461000,25/02/2017,3058,2,-37.7535,144.9779,11204
Coburg North,2,t,600000,04/03/2017,3058,1,-37.7295,144.9641,3445
Coburg North,4,h,820000,04/03/2017,3058,3,-37.7329,144.9721,3445
Coburg North,3,h,715000,04/03/2017,3058,2,-37.7308,144.9832,3445
Coburg North,3,h,735000,04/03/2017,3058,1,-37.7303,144.9773,3445
Coburg North,3,h,864000,04/06/2016,3058,2,-37.7283,144.969,3445
Coburg North,3,h,782000,11/03/2017,3058,3,-37.7269,144.9654,3445
Coburg North,2,h,935000,12/11/2016,3058,2,-37.7297,144.9654,3445
Coburg North,3,h,745000,18/03/2017,3058,3,-37.7316,144.9789,3445
Coburg North,2,u,532500,18/03/2017,3058,1,-37.73,144.9629,3445
Coburg North,3,h,750000,18/03/2017,3058,2,-37.7305,144.9809,3445
Coburg North,3,h,815000,18/06/2016,3058,2,-37.7295,144.982,3445
Coburg North,4,h,792000,26/07/2016,3058,1,-37.7242,144.9612,3445
Collingwood,2,h,1430000,04/03/2017,3066,0,-37.7969,144.9905,4553
Collingwood,3,t,1125000,04/03/2017,3066,2,-37.8083,144.9908,4553
Collingwood,3,u,950000,04/03/2017,3066,1,-37.8035,144.985,4553
Collingwood,2,u,910000,04/03/2017,3066,1,-37.8035,144.985,4553
Collingwood,1,u,452000,04/03/2017,3066,1,-37.802,144.9848,4553
Collingwood,1,u,440000,04/03/2017,3066,1,-37.802,144.9854,4553
Collingwood,2,h,855000,12/11/2016,3066,0,-37.7953,144.9882,4553
Collingwood,2,h,670000,18/03/2017,3066,0,-37.7976,144.993,4553
Collingwood,1,u,430000,18/03/2017,3066,1,-37.8019,144.9845,4553
Collingwood,2,u,515000,18/03/2017,3066,1,-37.802,144.9848,4553
Doncaster,5,h,1535000,04/03/2017,3108,2,-37.7722,145.1309,9028
Doncaster,3,h,1125000,04/03/2017,3108,2,-37.781,145.1036,9028
Doncaster,3,h,1300000,11/03/2017,3108,2,-37.7946,145.1375,9028
Doncaster,3,h,1300000,18/03/2017,3108,2,-37.7827,145.1051,9028
Doncaster,2,u,522500,18/06/2016,3108,1,-37.7874,145.1043,9028
Doncaster,4,h,1401000,25/02/2017,3108,2,-37.7785,145.1212,9028
Doncaster,4,h,1782000,25/02/2017,3108,3,-37.7739,145.1287,9028
Doncaster,3,u,735000,26/07/2016,3108,1,-37.7809,145.1061,9028
Eaglemont,4,h,2600000,18/06/2016,3084,3,-37.7612,145.0676,1651
Eaglemont,3,h,1601000,26/07/2016,3084,1,-37.7618,145.0649,1651
Elsternwick,4,h,3000000,18/03/2017,3185,2,-37.8844,145.0117,4898
