Suburb,Rooms,Type,Price,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Propertycount
Cremorne,2,h,1015000,S,16/07/2016,2.5,3121,2,1,1,131,80,Yarra,1123
Cremorne,2,h,930000,S,16/07/2016,2.5,3121,2,1,1,125,68,Yarra,1123
Cremorne,1,u,415000,SP,18/03/2017,2.5,3121,1,1,1,0,,Yarra,1123
Cremorne,3,h,1900000,VB,18/06/2016,2.5,3121,3,2,2,263,166,Yarra,1123
Cremorne,2,u,662500,S,19/11/2016,2.5,3121,2,1,1,0,75,Yarra,1123
Cremorne,2,h,831000,S,22/05/2016,2.5,3121,2,1,0,128,,Yarra,1123
Cremorne,2,h,1110000,S,24/09/2016,2.5,3121,2,1,1,144,,Yarra,1123
Cremorne,2,u,565000,S,24/09/2016,2.5,3121,2,1,1,0,,Yarra,1123
Cremorne,2,t,1010000,S,24/09/2016,2.5,3121,2,1,1,151,151,Yarra,1123
Cremorne,3,h,1300000,S,27/11/2016,2.5,3121,3,1,1,326,100,Yarra,1123
Cremorne,3,h,1300000,S,28/05/2016,2.5,3121,2,2,2,138,108,Yarra,1123
Docklands,1,u,360000,VB,10/12/2016,1.9,3008,1,1,1,0,,Melbourne,4707
Docklands,4,t,1370000,S,13/08/2016,1.9,3008,4,2,2,0,,Melbourne,4707
Docklands,2,u,800000,VB,27/06/2016,1.9,3008,2,2,2,0,128,Melbourne,4707
South Kingsville,4,h,930000,S,04/06/2016,9.1,3015,5,1,3,669,143,Hobsons Bay,984
South Kingsville,2,t,650000,SP,06/08/2016,9.1,3015,2,2,1,151,102,Hobsons Bay,984
South Kingsville,3,h,985000,S,12/06/2016,9.1,3015,3,1,5,669,124,Hobsons Bay,984
South Kingsville,4,t,915000,SP,16/04/2016,9.1,3015,4,3,1,662,265,Hobsons Bay,984
South Kingsville,3,h,845000,SP,17/09/2016,9.1,3015,3,2,2,738,,Hobsons Bay,984
South Kingsville,3,h,941000,S,18/06/2016,9.1,3015,3,2,3,669,,Hobsons Bay,984
South Kingsville,3,h,1030000,SP,22/05/2016,9.1,3015,0,1,1,224,,Hobsons Bay,984
South Kingsville,2,h,392250,SP,24/09/2016,9.1,3015,2,1,2,462,,Hobsons Bay,984
South Kingsville,3,u,508000,S,25/02/2017,9.1,3015,3,1,2,144,92,Hobsons Bay,984
South Kingsville,2,h,420000,SP,26/07/2016,9.1,3015,2,1,1,78,130,Hobsons Bay,984
South Kingsville,2,u,506000,S,27/06/2016,9.1,3015,2,1,1,126,83,Hobsons Bay,984
South Kingsville,3,t,855000,SP,27/11/2016,9.1,3015,3,2,2,337,,Hobsons Bay,984
South Kingsville,2,u,380000,VB,28/08/2016,9.1,3015,2,1,1,78,62,Hobsons Bay,984
South Kingsville,2,t,611000,SP,28/08/2016,9.1,3015,2,1,1,228,100,Hobsons Bay,984
Strathmore Heights,4,h,1260000,S,10/09/2016,12.5,3041,4,2,2,697,277,Moonee Valley,389
Strathmore Heights,4,h,931999,S,12/11/2016,12.5,3041,4,3,2,528,192,Moonee Valley,389
Strathmore Heights,4,h,800000,S,18/06/2016,12.5,3041,3,2,4,556,,Moonee Valley,389
Strathmore Heights,4,h,950000,S,22/05/2016,12.5,3041,4,3,2,541,,Moonee Valley,389
Strathmore Heights,4,h,780000,VB,22/08/2016,12.5,3041,4,2,2,539,,Moonee Valley,389
Travancore,2,u,503000,S,10/12/2016,5.3,3032,2,1,1,0,,Moonee Valley,1052
Travancore,3,h,1257000,S,13/08/2016,5.3,3032,3,2,1,337,153,Moonee Valley,1052
Travancore,4,h,1562000,SP,15/10/2016,5.3,3032,4,2,1,621,192,Moonee Valley,1052
Travancore,2,h,1100000,SP,18/06/2016,5.3,3032,2,1,1,321,,Moonee Valley,1052
Travancore,4,h,1740000,VB,22/05/2016,5.3,3032,3,3,2,650,242,Moonee Valley,1052
Travancore,2,u,315000,SP,28/05/2016,5.3,3032,2,1,1,0,51,Moonee Valley,1052
Caulfield East,3,h,1650000,PI,06/08/2016,9.3,3145,20,1,2,875,,Glen Eira,608
Caulfield East,3,h,1380000,S,08/10/2016,9.3,3145,3,1,2,658,,Glen Eira,608
Caulfield East,2,h,620000,SP,10/12/2016,9.3,3145,2,1,2,0,,Glen Eira,608
Caulfield East,5,h,1335000,S,16/07/2016,9.3,3145,5,2,1,521,208,Glen Eira,608
Caulfield East,2,h,1000000,S,25/02/2017,9.3,3145,2,1,1,472,,Glen Eira,608
Seaholme,3,h,860000,PI,06/08/2016,12.7,3018,3,2,2,537,,Hobsons Bay,852
Seaholme,5,h,1415000,S,17/09/2016,12.7,3018,5,3,6,705,313,Hobsons Bay,852
Seaholme,5,h,2000000,PI,25/02/2017,12.7,3018,4,3,4,697,,Hobsons Bay,852
Keilor Park,3,h,720000,S,08/10/2016,14.5,3042,3,1,1,696,132,Brimbank,1119
Keilor Park,2,t,380000,S,10/09/2016,14.5,3042,2,1,1,161,100,Brimbank,1119
Keilor Park,4,h,843000,S,11/02/2017,14.5,3042,4,2,1,697,,Brimbank,1119
Keilor Park,3,u,501000,S,12/11/2016,14.5,3042,3,1,1,255,132,Brimbank,1119
Keilor Park,4,h,820500,S,18/03/2017,14.5,3042,4,2,7,754,,Brimbank,1119
Keilor Park,3,h,722000,SP,18/06/2016,14.5,3042,3,1,1,695,141,Brimbank,1119
Keilor Park,4,t,746000,S,22/05/2016,14.5,3042,4,3,1,308,174,Brimbank,1119
Keilor Park,3,h,685000,S,26/07/2016,14.5,3042,3,2,2,260,,Brimbank,1119
Keilor Park,3,u,455000,S,27/06/2016,14.5,3042,3,1,1,166,136,Brimbank,1119
Keilor Park,4,t,600000,S,27/11/2016,14.5,3042,4,2,1,231,146,Brimbank,1119
Keilor Park,3,h,575000,S,27/11/2016,14.5,3042,3,1,1,338,107,Brimbank,1119
Keilor Park,3,h,566000,S,28/05/2016,14.5,3042,3,2,2,554,129,Brimbank,1119
Gardenvale,3,h,1250000,PI,11/02/2017,9.8,3185,3,2,2,236,193,Glen Eira,534
Gardenvale,2,u,393000,SP,14/05/2016,9.8,3185,2,1,1,0,65,Glen Eira,534
Gardenvale,2,u,440000,S,18/06/2016,9.8,3185,2,1,1,0,75,Glen Eira,534
Gardenvale,2,u,595000,S,19/11/2016,9.8,3185,2,1,1,0,75,Glen Eira,534
Gardenvale,4,h,2200000,S,28/08/2016,9.8,3185,4,3,3,474,230,Glen Eira,534
Princes Hill,3,h,1700000,VB,27/11/2016,3.7,3054,3,1,2,341,,Yarra,1008
Princes Hill,4,h,1908000,S,28/05/2016,3.7,3054,4,2,1,256,156,Yarra,1008
Aberfeldie,4,h,1330000,S,06/05/2017,9.1,3040,4,2,2,273,,Moonee Valley,1543
Aberfeldie,3,h,1300000,S,08/04/2017,9.1,3040,3,3,2,240,240,Moonee Valley,1543
Aberfeldie,2,h,470000,S,08/04/2017,9.1,3040,2,1,1,70,72.3,Moonee Valley,1543
Aberfeldie,4,h,1740000,PI,29/04/2017,9.1,3040,4,2,2,746,161,Moonee Valley,1543
Albert Park,3,h,1700000,VB,06/05/2017,3.3,3206,3,1,1,178,116,Port Phillip,3280
Albert Park,1,u,1100000,PI,08/04/2017,3.3,3206,1,1,1,0,64,Port Phillip,3280
Albert Park,3,h,2155000,S,08/04/2017,3.3,3206,3,2,0,130,,Port Phillip,3280
Albert Park,3,h,2115000,PI,08/04/2017,3.3,3206,3,2,0,140,,Port Phillip,3280
Albert Park,2,h,2810000,S,08/04/2017,3.3,3206,2,1,1,263,,Port Phillip,3280
Albert Park,2,h,2130000,S,13/05/2017,3.3,3206,2,1,1,236,,Port Phillip,3280
Albert Park,4,h,2950000,S,20/05/2017,3.3,3206,4,1,0,306,,Port Phillip,3280
Albert Park,3,h,2150000,S,20/05/2017,3.3,3206,3,1,1,163,85,Port Phillip,3280
Albert Park,3,h,2035000,SP,29/04/2017,3.3,3206,3,1,1,185,,Port Phillip,3280
Albert Park,2,t,1500000,S,29/04/2017,3.3,3206,2,1,1,115,,Port Phillip,3280
Albert Park,2,h,1190000,S,29/04/2017,3.3,3206,2,1,0,111,70,Port Phillip,3280
Alphington,1,u,320000,S,06/05/2017,6.4,3078,1,1,1,915,,Darebin,2211
Alphington,3,t,1285000,PI,13/05/2017,6.4,3078,3,2,2,528,,Yarra,2211
Alphington,4,h,1975000,S,20/05/2017,6.4,3078,4,2,2,600,,Darebin,2211
Alphington,1,u,316000,S,20/05/2017,6.4,3078,1,1,1,0,,Darebin,2211
Altona North,3,h,916000,SP,20/05/2017,11.1,3025,3,1,2,606,109,Hobsons Bay,5132
Altona North,3,h,750000,S,20/05/2017,11.1,3025,3,1,2,534,,Hobsons Bay,5132
Altona North,3,h,910000,S,29/04/2017,11.1,3025,3,1,3,535,132,Hobsons Bay,5132
Armadale,2,h,1859000,S,06/05/2017,6.3,3143,2,2,3,311,,Stonnington,4836
Armadale,2,t,1200000,S,06/05/2017,6.3,3143,2,2,1,189,,Stonnington,4836
Armadale,2,u,480000,VB,08/04/2017,6.3,3143,2,1,1,0,66.23,Stonnington,4836
Armadale,3,u,1635000,S,20/05/2017,6.3,3143,3,2,2,1803,,Stonnington,4836
Armadale,2,h,1705000,S,20/05/2017,6.3,3143,2,2,0,195,,Stonnington,4836
Armadale,3,t,1005000,S,22/04/2017,6.3,3143,3,2,2,0,,Stonnington,4836
Armadale,2,u,852000,S,22/04/2017,6.3,3143,2,1,1,869,74,Stonnington,4836
Armadale,2,u,690000,S,22/04/2017,6.3,3143,2,1,2,0,,Stonnington,4836
Armadale,3,u,2120000,S,29/04/2017,6.3,3143,3,2,3,395,,Stonnington,4836
Armadale,1,u,405000,S,29/04/2017,6.3,3143,1,1,0,0,48,Stonnington,4836
Ascot Vale,5,h,2100000,S,06/05/2017,5.9,3032,5,3,3,468,274,Moonee Valley,6567
Ascot Vale,3,h,1435000,S,08/04/2017,5.9,3032,3,1,1,450,155,Moonee Valley,6567
Ascot Vale,2,h,1020000,PI,13/05/2017,5.9,3032,2,1,1,226,98,Moonee Valley,6567
Ascot Vale,3,h,1041000,S,13/05/2017,5.9,3032,3,2,2,209,,Moonee Valley,6567
Ascot Vale,2,t,565000,S,13/05/2017,5.9,3032,2,2,1,103,,Moonee Valley,6567
Ascot Vale,6,h,2250000,PI,13/05/2017,5.9,3032,6,3,2,1012,435,Moonee Valley,6567
Ascot Vale,4,t,900000,SP,13/05/2017,5.9,3032,4,3,2,0,159,Moonee Valley,6567
Ascot Vale,3,h,1490000,S,20/05/2017,5.9,3032,3,2,1,542,,Moonee Valley,6567
Ascot Vale,3,h,1230000,PI,20/05/2017,5.9,3032,3,1,2,538,,Moonee Valley,6567
Ascot Vale,2,h,1050000,S,20/05/2017,5.9,3032,2,1,0,341,,Moonee Valley,6567
Ascot Vale,2,h,1005000,S,29/04/2017,5.9,3032,2,1,1,202,,Moonee Valley,6567
Ascot Vale,4,h,1316500,S,29/04/2017,5.9,3032,4,3,2,230,,Moonee Valley,6567
Ashwood,2,h,1495000,S,08/04/2017,12.2,3147,2,1,2,803,95,Monash,2894
Ashwood,4,h,1126000,S,08/04/2017,12.2,3147,4,1,1,656,,Monash,2894
Ashwood,2,u,822000,S,08/04/2017,12.2,3147,2,1,1,78,59,Monash,2894
Ashwood,2,t,770000,SP,08/04/2017,12.2,3147,2,1,2,162,,Monash,2894
Ashwood,3,u,890000,S,20/05/2017,12.2,3147,3,2,2,235,130,Monash,2894
Avondale Heights,3,u,765000,S,06/05/2017,10.5,3034,3,2,1,292,150,Moonee Valley,4502
Avondale Heights,3,h,881000,S,08/04/2017,10.5,3034,3,1,2,615,,Moonee Valley,4502
Avondale Heights,4,h,850000,SP,08/04/2017,10.5,3034,4,1,2,697,,Moonee Valley,4502
Avondale Heights,4,h,1300000,SP,20/05/2017,10.5,3034,4,3,2,656,322,Moonee Valley,4502
Avondale Heights,5,h,1250000,SP,22/04/2017,10.5,3034,5,2,2,889,,Moonee Valley,4502
Avondale Heights,3,h,760000,SP,22/04/2017,10.5,3034,3,1,1,585,99,Moonee Valley,4502
Avondale Heights,4,h,1600000,VB,29/04/2017,10.5,3034,4,3,3,857,,Moonee Valley,4502
Balwyn North,2,h,1900000,S,08/04/2017,9.2,3104,2,1,2,667,130,Boroondara,7809
Balwyn North,3,h,1922000,S,08/04/2017,9.2,3104,3,1,1,696,,Boroondara,7809
Balwyn North,4,h,2000000,PI,13/05/2017,9.2,3104,4,2,2,627,,Boroondara,7809
Balwyn North,3,u,700000,S,13/05/2017,9.2,3104,3,1,1,350,120,Boroondara,7809
Balwyn North,4,h,1890000,S,13/05/2017,9.2,3104,4,3,2,636,227,Boroondara,7809
Balwyn North,4,h,1630000,S,13/05/2017,9.2,3104,4,2,1,677,,Boroondara,7809
Balwyn North,2,u,800000,PI,20/05/2017,9.2,3104,2,2,1,196,,Boroondara,7809
Balwyn North,3,h,1670000,S,29/04/2017,9.2,3104,0,0,0,818,,Boroondara,7809
Balwyn North,4,h,1725000,PI,29/04/2017,9.2,3104,4,3,2,627,213,Boroondara,7809
Bellfield,3,h,1110000,S,06/05/2017,9.5,3081,3,1,2,730,,Banyule,790
Bellfield,3,h,894000,S,08/04/2017,9.5,3081,3,2,3,601,101.51,Banyule,790
Bentleigh,2,h,1402000,S,06/05/2017,13,3204,2,1,4,616,,Glen Eira,6795
Bentleigh,3,h,1500000,S,06/05/2017,13,3204,3,1,2,657,,Glen Eira,6795
Bentleigh,2,h,1100000,VB,08/04/2017,13,3204,2,1,3,579,,Glen Eira,6795
Bentleigh,6,h,2000000,VB,08/04/2017,13,3204,6,2,2,702,,Glen Eira,6795
Bentleigh,2,u,710000,S,08/04/2017,13,3204,2,1,3,225,,Glen Eira,6795
Bentleigh,2,t,620000,SP,08/04/2017,13,3204,2,2,1,0,,Glen Eira,6795
Bentleigh,4,t,1105000,S,13/05/2017,13,3204,4,2,1,207,,Glen Eira,6795
Bentleigh,3,t,1303000,S,13/05/2017,13,3204,3,2,2,334,,Glen Eira,6795
Bentleigh,3,t,1375000,S,20/05/2017,13,3204,3,3,2,338,194,Glen Eira,6795
Bentleigh,4,t,1300000,S,20/05/2017,13,3204,4,2,2,352,,Glen Eira,6795
Bentleigh,3,h,1286000,S,20/05/2017,13,3204,3,1,2,614,,Glen Eira,6795
Bentleigh,4,h,1920000,S,20/05/2017,13,3204,4,2,2,650,,Glen Eira,6795
Bentleigh,3,h,1968500,S,20/05/2017,13,3204,3,2,2,674,,Glen Eira,6795
Bentleigh,3,u,845000,S,22/04/2017,13,3204,3,1,2,242,,Glen Eira,6795
Bentleigh,4,h,1107000,S,22/04/2017,13,3204,4,2,2,478,,Glen Eira,6795
Bentleigh,3,u,641500,S,22/04/2017,13,3204,3,1,1,681,,Glen Eira,6795
Bentleigh,2,u,725000,S,29/04/2017,13,3204,2,1,1,0,115,Glen Eira,6795
Bentleigh East,4,h,1515000,S,06/05/2017,13.9,3165,4,3,2,635,200,Glen Eira,10969
Bentleigh East,3,h,986000,S,08/04/2017,13.9,3165,3,1,3,337,100,Glen Eira,10969
Bentleigh East,3,h,830000,PI,13/05/2017,13.9,3165,3,1,2,290,,Glen Eira,10969
Bentleigh East,3,t,767000,S,13/05/2017,13.9,3165,3,1,2,162,,Glen Eira,10969
Bentleigh East,4,h,1860000,PI,13/05/2017,13.9,3165,4,3,2,620,,Glen Eira,10969
Bentleigh East,3,t,1200000,PI,13/05/2017,13.9,3165,3,2,2,369,,Glen Eira,10969
Bentleigh East,3,h,1175000,S,20/05/2017,13.9,3165,3,1,2,625,,Glen Eira,10969
Bentleigh East,3,t,1225000,S,20/05/2017,13.9,3165,3,2,2,372,180,Glen Eira,10969
Bentleigh East,3,t,1055000,SP,20/05/2017,13.9,3165,3,2,2,301,,Glen Eira,10969
Bentleigh East,5,h,1351000,S,20/05/2017,13.9,3165,5,2,2,652,,Glen Eira,10969
Bentleigh East,2,h,1962000,S,20/05/2017,13.9,3165,2,1,2,848,,Glen Eira,10969
Bentleigh East,3,h,810000,PI,20/05/2017,13.9,3165,3,1,1,294,105,Glen Eira,10969
Bentleigh East,3,t,850000,S,20/05/2017,13.9,3165,3,2,2,321,,Glen Eira,10969
Bentleigh East,2,u,535000,SP,29/04/2017,13.9,3165,2,1,1,1026,68.11,Glen Eira,10969
Bentleigh East,3,h,1640000,S,29/04/2017,13.9,3165,3,1,2,733,,Glen Eira,10969
Bentleigh East,3,u,809000,S,29/04/2017,13.9,3165,3,1,1,289,,Glen Eira,10969
Bentleigh East,3,h,1510000,S,29/04/2017,13.9,3165,3,1,2,689,,Glen Eira,10969
Bentleigh East,4,h,1292000,S,29/04/2017,13.9,3165,4,1,2,587,161,Glen Eira,10969
Bentleigh East,3,h,1165000,S,29/04/2017,13.9,3165,3,1,2,589,158,Glen Eira,10969
Bentleigh East,3,h,959000,S,29/04/2017,13.9,3165,3,2,2,557,119,Glen Eira,10969
Bentleigh East,3,h,1251000,S,29/04/2017,13.9,3165,3,1,1,612,,Glen Eira,10969
Bentleigh East,3,h,1205000,S,29/04/2017,13.9,3165,3,3,2,604,,Glen Eira,10969
Box Hill,2,u,780000,S,06/05/2017,13.1,3128,2,1,1,171,80,Whitehorse,4605
Box Hill,2,u,572000,SP,13/05/2017,13.1,3128,2,1,1,0,,Whitehorse,4605
Box Hill,3,h,910000,S,13/05/2017,13.1,3128,3,1,2,414,,Whitehorse,4605
Box Hill,3,h,1760000,S,20/05/2017,13.1,3128,3,1,2,689,152,Whitehorse,4605
Box Hill,5,h,1726000,S,20/05/2017,13.1,3128,5,2,2,631,,Whitehorse,4605
Box Hill,2,t,990000,S,20/05/2017,13.1,3128,2,1,1,257,,Whitehorse,4605
Box Hill,2,u,646500,S,22/04/2017,13.1,3128,2,1,1,156,,Whitehorse,4605
Box Hill,3,h,2080000,S,22/04/2017,13.1,3128,3,2,2,693,158,Whitehorse,4605
Braybrook,2,h,610000,S,06/05/2017,10.8,3019,2,1,2,555,74,Maribyrnong,3589
Braybrook,3,h,925000,S,08/04/2017,10.8,3019,3,1,2,597,,Maribyrnong,3589
Braybrook,2,h,760000,S,08/04/2017,10.8,3019,2,1,1,604,82,Maribyrnong,3589
Braybrook,3,h,771000,S,20/05/2017,10.8,3019,3,1,0,556,,Maribyrnong,3589
Braybrook,3,t,441700,SP,22/04/2017,10.8,3019,3,2,1,145,107,Maribyrnong,3589
Braybrook,4,h,1000000,S,22/04/2017,10.8,3019,4,3,2,475,319,Maribyrnong,3589
Braybrook,3,h,730000,SP,29/04/2017,10.8,3019,3,1,3,586,,Maribyrnong,3589
Brighton,3,h,2575000,S,08/04/2017,11.2,3186,3,2,2,517,195,Bayside,10579
Brighton,4,t,2900000,VB,08/04/2017,11.2,3186,4,4,2,473,292,Bayside,10579
Brighton,5,h,5800000,PI,08/04/2017,11.2,3186,5,4,4,1276,,Bayside,10579
Brighton,3,h,2140000,S,08/04/2017,11.2,3186,3,2,2,393,,Bayside,10579
Brighton,3,h,2225000,PI,08/04/2017,11.2,3186,3,2,2,0,167,Bayside,10579
Brighton,2,t,975000,PI,08/04/2017,11.2,3186,2,1,1,444,182,Bayside,10579
Brighton,4,h,4225000,S,08/04/2017,11.2,3186,4,2,2,920,333,Bayside,10579
Brighton,3,t,2100000,S,08/04/2017,11.2,3186,3,2,4,0,145,Bayside,10579
Brighton,3,u,1392000,S,13/05/2017,11.2,3186,3,2,1,188,,Bayside,10579
Brighton,3,h,2445000,S,13/05/2017,11.2,3186,3,3,2,440,,Bayside,10579
Brighton,2,u,520000,PI,13/05/2017,11.2,3186,2,1,1,1647,73,Bayside,10579
Brighton,4,h,2000000,VB,13/05/2017,11.2,3186,4,2,2,286,283,Bayside,10579
Brighton,2,h,1350000,S,13/05/2017,11.2,3186,2,1,1,873,,Bayside,10579
