Suburb ,Type,Date
Coburg,h,01/04/2017
Coburg North,t,01/04/2017
Collingwood,t,01/04/2017
Collingwood,u,01/04/2017
Craigieburn,h,01/04/2017
Craigieburn,h,01/04/2017
Craigieburn,h,01/04/2017
Craigieburn,t,01/04/2017
Cranbourne North,h,01/04/2017
Croydon,h,01/04/2017
Croydon,h,01/04/2017
Dallas,h,01/04/2017
Dandenong,h,01/04/2017
Dandenong North,u,01/04/2017
Deepdene,h,01/04/2017
Deer Park,h,01/04/2017
Deer Park,h,01/04/2017
Delahey,h,01/04/2017
Dingley Village,h,01/04/2017
Dingley Village,h,01/04/2017
Dingley Village,h,01/04/2017
Dingley Village,h,01/04/2017
Dingley Village,h,01/04/2017
Doncaster,h,01/04/2017
Doncaster East,h,01/04/2017
Doncaster East,t,01/04/2017
Doncaster East,t,01/04/2017
Doncaster East,h,01/04/2017
Donvale,h,01/04/2017
Eaglemont,h,01/04/2017
East Melbourne,h,01/04/2017
Edithvale,h,01/04/2017
Elsternwick,t,01/04/2017
Elsternwick,h,01/04/2017
Eltham,h,01/04/2017
Eltham,h,01/04/2017
Eltham North,h,01/04/2017
Elwood,u,01/04/2017
Elwood,u,01/04/2017
Elwood,h,01/04/2017
Elwood,h,01/04/2017
Endeavour Hills,h,01/04/2017
Epping,h,01/04/2017
Epping,h,01/04/2017
Epping,h,01/04/2017
Essendon,h,01/04/2017
Essendon,h,01/04/2017
Essendon,h,01/04/2017
Essendon,u,01/04/2017
Essendon,u,01/04/2017
Essendon North,h,01/04/2017
Essendon West,h,01/04/2017
Fawkner,h,01/04/2017
Fawkner,h,01/04/2017
Fawkner,t,01/04/2017
Ferntree Gully,h,01/04/2017
Ferntree Gully,h,01/04/2017
Ferntree Gully,h,01/04/2017
Fitzroy,h,01/04/2017
Fitzroy North,h,01/04/2017
Fitzroy North,h,01/04/2017
Fitzroy North,h,01/04/2017
Fitzroy North,u,01/04/2017
Fitzroy North,h,01/04/2017
Fitzroy North,h,01/04/2017
Fitzroy North,h,01/04/2017
Fitzroy North,h,01/04/2017
Footscray,t,01/04/2017
Forest Hill,h,01/04/2017
Frankston,h,01/04/2017
Frankston,h,01/04/2017
Frankston North,h,01/04/2017
Gladstone Park,h,01/04/2017
Glen Iris,t,01/04/2017
Glen Iris,h,01/04/2017
Glen Iris,h,01/04/2017
Glen Iris,t,01/04/2017
Glen Iris,h,01/04/2017
Glen Iris,h,01/04/2017
Glen Waverley,h,01/04/2017
Glen Waverley,h,01/04/2017
Glen Waverley,h,01/04/2017
Glenroy,t,01/04/2017
Gowanbrae,h,01/04/2017
Gowanbrae,h,01/04/2017
Greensborough,h,01/04/2017
Greensborough,h,01/04/2017
Greensborough,h,01/04/2017
Greensborough,h,01/04/2017
Greensborough,h,01/04/2017
Greensborough,h,01/04/2017
Greensborough,h,01/04/2017
Greenvale,h,01/04/2017
Hadfield,h,01/04/2017
Hadfield,h,01/04/2017
Hampton,h,01/04/2017
Hampton,h,01/04/2017
Hampton,u,01/04/2017
Hampton,t,01/04/2017
Hawthorn,u,01/04/2017
Hawthorn,h,01/04/2017
Hawthorn,u,01/04/2017
Hawthorn,u,01/04/2017
Hawthorn,h,01/04/2017
Hawthorn,u,01/04/2017
Heidelberg,u,01/04/2017
Heidelberg,h,01/04/2017
Heidelberg Heights,h,01/04/2017
Heidelberg Heights,u,01/04/2017
Heidelberg Heights,h,01/04/2017
Heidelberg West,h,01/04/2017
Highett,h,01/04/2017
Hillside,h,01/04/2017
Hoppers Crossing,h,01/04/2017
Hoppers Crossing,h,01/04/2017
Hoppers Crossing,h,01/04/2017
Hughesdale,h,01/04/2017
Hughesdale,h,01/04/2017
Huntingdale,h,01/04/2017
Ivanhoe,h,01/04/2017
Ivanhoe,h,01/04/2017
Ivanhoe,h,01/04/2017
Ivanhoe East,h,01/04/2017
Jacana,h,01/04/2017
Jacana,h,01/04/2017
Keilor Downs,h,01/04/2017
Keilor East,h,01/04/2017
Keilor East,h,01/04/2017
Keilor East,h,01/04/2017
Keilor East,h,01/04/2017
Keilor East,u,01/04/2017
Kensington,h,01/04/2017
Kensington,h,01/04/2017
Kew,u,01/04/2017
Kew,h,01/04/2017
Kew,h,01/04/2017
Kew,h,01/04/2017
Kew,h,01/04/2017
Kew,h,01/04/2017
Kew East,h,01/04/2017
Lalor,h,01/04/2017
MacLeod,h,01/04/2017
MacLeod,u,01/04/2017
MacLeod,h,01/04/2017
Malvern,h,01/04/2017
Malvern,u,01/04/2017
Malvern East,h,01/04/2017
Malvern East,h,01/04/2017
Maribyrnong,h,01/04/2017
Maribyrnong,u,01/04/2017
McKinnon,h,01/04/2017
Meadow Heights,h,01/04/2017
Melbourne,u,01/04/2017
Melton,h,01/04/2017
Mentone,h,01/04/2017
Mentone,u,01/04/2017
Mentone,t,01/04/2017
Mernda,h,01/04/2017
Middle Park,u,01/04/2017
Mill Park,h,01/04/2017
Mill Park,h,01/04/2017
Mill Park,h,01/04/2017
Montmorency,h,01/04/2017
Moonee Ponds,h,01/04/2017
Moonee Ponds,h,01/04/2017
Moonee Ponds,h,01/04/2017
Moonee Ponds,h,01/04/2017
Moonee Ponds,h,01/04/2017
Moonee Ponds,h,01/04/2017
Moorabbin,h,01/04/2017
Moorabbin,h,01/04/2017
Moorabbin,t,01/04/2017
Mooroolbark,h,01/04/2017
Mordialloc,t,01/04/2017
Mordialloc,h,01/04/2017
Mount Waverley,u,01/04/2017
Mount Waverley,h,01/04/2017
Mount Waverley,h,01/04/2017
Mount Waverley,t,01/04/2017
Mount Waverley,u,01/04/2017
Mount Waverley,h,01/04/2017
Mount Waverley,t,01/04/2017
Mount Waverley,h,01/04/2017
Mulgrave,h,01/04/2017
Mulgrave,h,01/04/2017
Mulgrave,h,01/04/2017
Mulgrave,h,01/04/2017
Mulgrave,h,01/04/2017
Murrumbeena,u,01/04/2017
Newport,h,01/04/2017
Noble Park,h,01/04/2017
North Melbourne,h,01/04/2017
Northcote,h,01/04/2017
Northcote,h,01/04/2017
Nunawading,h,01/04/2017
Nunawading,h,01/04/2017
Nunawading,h,01/04/2017
Oak Park,h,01/04/2017
Oak Park,h,01/04/2017
Oakleigh,t,01/04/2017
Oakleigh South,h,01/04/2017
Ormond,u,01/04/2017
Ormond,h,01/04/2017
Ormond,t,01/04/2017
Pakenham,h,01/04/2017
Parkdale,h,01/04/2017
Parkdale,h,01/04/2017
Parkdale,u,01/04/2017
Parkville,u,01/04/2017
Pascoe Vale,h,01/04/2017
Pascoe Vale,h,01/04/2017
Pascoe Vale,u,01/04/2017
Pascoe Vale,h,01/04/2017
Patterson Lakes,t,01/04/2017
Port Melbourne,u,01/04/2017
Port Melbourne,h,01/04/2017
Port Melbourne,u,01/04/2017
Port Melbourne,h,01/04/2017
Prahran,u,01/04/2017
Prahran,h,01/04/2017
Prahran,h,01/04/2017
Prahran,u,01/04/2017
Preston,t,01/04/2017
Preston,h,01/04/2017
Preston,h,01/04/2017
Reservoir,h,01/04/2017
Reservoir,h,01/04/2017
Reservoir,h,01/04/2017
Reservoir,u,01/04/2017
Reservoir,h,01/04/2017
Reservoir,h,01/04/2017
Reservoir,t,01/04/2017
Reservoir,h,01/04/2017
Reservoir,h,01/04/2017
Richmond,h,01/04/2017
Richmond,u,01/04/2017
Richmond,u,01/04/2017
Richmond,h,01/04/2017
Richmond,h,01/04/2017
Riddells Creek,h,01/04/2017
Ringwood,u,01/04/2017
Ringwood,h,01/04/2017
Ringwood East,h,01/04/2017
Ringwood East,h,01/04/2017
Ringwood North,h,01/04/2017
Rowville,h,01/04/2017
Roxburgh Park,h,01/04/2017
Roxburgh Park,h,01/04/2017
Roxburgh Park,h,01/04/2017
Scoresby,h,01/04/2017
Seaford,h,01/04/2017
Seddon,h,01/04/2017
Seddon,u,01/04/2017
South Melbourne,u,01/04/2017
South Morang,h,01/04/2017
South Morang,h,01/04/2017
South Morang,h,01/04/2017
South Yarra,h,01/04/2017
South Yarra,u,01/04/2017
South Yarra,u,01/04/2017
Springvale,h,01/04/2017
St Albans,h,01/04/2017
St Kilda,u,01/04/2017
St Kilda,u,01/04/2017
Strathmore,t,01/04/2017
Strathmore,h,01/04/2017
Sunshine,h,01/04/2017
Sunshine North,h,01/04/2017
Sunshine North,h,01/04/2017
Surrey Hills,h,01/04/2017
Surrey Hills,h,01/04/2017
Sydenham,h,01/04/2017
Sydenham,h,01/04/2017
Taylors Lakes,h,01/04/2017
Templestowe,h,01/04/2017
Templestowe,h,01/04/2017
Templestowe,h,01/04/2017
Templestowe,h,01/04/2017
Templestowe,t,01/04/2017
Templestowe Lower,h,01/04/2017
Templestowe Lower,h,01/04/2017
Templestowe Lower,h,01/04/2017
Templestowe Lower,h,01/04/2017
Thomastown,h,01/04/2017
Thomastown,h,01/04/2017
Thomastown,h,01/04/2017
Thomastown,u,01/04/2017
Thomastown,h,01/04/2017
Thornbury,h,01/04/2017
Thornbury,h,01/04/2017
Thornbury,h,01/04/2017
Toorak,u,01/04/2017
Toorak,h,01/04/2017
Toorak,u,01/04/2017
Tullamarine,h,01/04/2017
Tullamarine,h,01/04/2017
Wantirna South,h,01/04/2017
Wantirna South,h,01/04/2017
Warrandyte,h,01/04/2017
Werribee,h,01/04/2017
Werribee,h,01/04/2017
West Footscray,h,01/04/2017
West Footscray,h,01/04/2017
West Footscray,h,01/04/2017
West Melbourne,u,01/04/2017
Wheelers Hill,h,01/04/2017
Wheelers Hill,h,01/04/2017
Williamstown,h,01/04/2017
Williamstown,h,01/04/2017
Windsor,h,01/04/2017
Windsor,u,01/04/2017
Wollert,h,01/04/2017
Wollert,h,01/04/2017
Wyndham Vale,h,01/04/2017
Yarraville,h,01/04/2017
Yarraville,h,01/04/2017
Abbotsford,h,01/07/2017
Airport West,u,01/07/2017
Airport West,h,01/07/2017
Airport West,h,01/07/2017
Albert Park,h,01/07/2017
Albion,h,01/07/2017
Alphington,h,01/07/2017
Alphington,h,01/07/2017
Altona North,h,01/07/2017
Ardeer,h,01/07/2017
Ascot Vale,h,01/07/2017
Ashwood,h,01/07/2017
Attwood,h,01/07/2017
Avondale Heights,u,01/07/2017
Balwyn North,h,01/07/2017
Balwyn North,h,01/07/2017
Bayswater,t,01/07/2017
Beaumaris,h,01/07/2017
Beaumaris,h,01/07/2017
Beaumaris,h,01/07/2017
Bentleigh,h,01/07/2017
Bentleigh East,h,01/07/2017
Blackburn,u,01/07/2017
Blackburn South,h,01/07/2017
Boronia,h,01/07/2017
Briar Hill,h,01/07/2017
Brighton,h,01/07/2017
Broadmeadows,t,01/07/2017
Broadmeadows,h,01/07/2017
Brooklyn,u,01/07/2017
Brunswick,u,01/07/2017
Brunswick East,h,01/07/2017
Brunswick West,h,01/07/2017
Brunswick West,h,01/07/2017
Brunswick West,h,01/07/2017
Bulleen,h,01/07/2017
Bundoora,h,01/07/2017
Bundoora,h,01/07/2017
Bundoora,t,01/07/2017
Burnside Heights,h,01/07/2017
Burwood East,h,01/07/2017
Camberwell,u,01/07/2017
Canterbury,u,01/07/2017
Carlton,u,01/07/2017
Carlton,h,01/07/2017
Caulfield South,u,01/07/2017
Cheltenham,h,01/07/2017
Cheltenham,t,01/07/2017
Cheltenham,h,01/07/2017
Cheltenham,u,01/07/2017
Cheltenham,h,01/07/2017
Clifton Hill,u,01/07/2017
Coburg,u,01/07/2017
Coburg,h,01/07/2017
Craigieburn,h,01/07/2017
Craigieburn,h,01/07/2017
Craigieburn,h,01/07/2017
Craigieburn,h,01/07/2017
Cranbourne,h,01/07/2017
Croydon,h,01/07/2017
Croydon,u,01/07/2017
Croydon,h,01/07/2017
Dandenong,h,01/07/2017
Dandenong,u,01/07/2017
Dandenong North,h,01/07/2017
Diamond Creek,h,01/07/2017
Dingley Village,u,01/07/2017
Doncaster,t,01/07/2017
Donvale,h,01/07/2017
Donvale,t,01/07/2017
Doreen,h,01/07/2017
Eaglemont,h,01/07/2017
Edithvale,h,01/07/2017
Eltham,h,01/07/2017
Eltham,h,01/07/2017
Eltham North,h,01/07/2017
Elwood,u,01/07/2017
Elwood,u,01/07/2017
Epping,u,01/07/2017
Epping,h,01/07/2017
Essendon,h,01/07/2017
Essendon,u,01/07/2017
Essendon,t,01/07/2017
Essendon,u,01/07/2017
Eumemmerring,h,01/07/2017
Eumemmerring,h,01/07/2017
Fairfield,h,01/07/2017
Fawkner,h,01/07/2017
Fawkner,h,01/07/2017
Ferntree Gully,u,01/07/2017
Fitzroy North,h,01/07/2017
Fitzroy North,h,01/07/2017
Footscray,t,01/07/2017
Forest Hill,h,01/07/2017
Forest Hill,t,01/07/2017
Frankston,u,01/07/2017
Frankston,h,01/07/2017
Frankston North,h,01/07/2017
Frankston South,h,01/07/2017
Gladstone Park,h,01/07/2017
Glen Iris,h,01/07/2017
Glen Iris,u,01/07/2017
Glen Waverley,h,01/07/2017
Glen Waverley,h,01/07/2017
Glenroy,t,01/07/2017
Glenroy,t,01/07/2017
Glenroy,t,01/07/2017
Greensborough,h,01/07/2017
Greensborough,h,01/07/2017
Greensborough,u,01/07/2017
Hadfield,u,01/07/2017
Hallam,h,01/07/2017
Hampton,h,01/07/2017
Hampton East,h,01/07/2017
Hawthorn,h,01/07/2017
Hawthorn,u,01/07/2017
Hawthorn,u,01/07/2017
Hawthorn,u,01/07/2017
Hawthorn,h,01/07/2017
Hawthorn,u,01/07/2017
Heidelberg,h,01/07/2017
Heidelberg Heights,h,01/07/2017
Heidelberg West,h,01/07/2017
Heidelberg West,h,01/07/2017
Highett,u,01/07/2017
Hoppers Crossing,h,01/07/2017
Hoppers Crossing,h,01/07/2017
Hoppers Crossing,h,01/07/2017
Huntingdale,h,01/07/2017
Ivanhoe,h,01/07/2017
Ivanhoe East,h,01/07/2017
Jacana,t,01/07/2017
Keilor Downs,h,01/07/2017
Keilor Downs,h,01/07/2017
Keilor Downs,h,01/07/2017
Kensington,t,01/07/2017
Kew,h,01/07/2017
Kew,h,01/07/2017
Kew East,u,01/07/2017
Keysborough,h,01/07/2017
Keysborough,h,01/07/2017
Kingsville,h,01/07/2017
Lalor,h,01/07/2017
Lalor,h,01/07/2017
Lalor,u,01/07/2017
Lower Plenty,h,01/07/2017
Lynbrook,h,01/07/2017
MacLeod,u,01/07/2017
Maidstone,t,01/07/2017
Maidstone,t,01/07/2017
Malvern East,h,01/07/2017
Malvern East,h,01/07/2017
Melton South,h,01/07/2017
Mentone,t,01/07/2017
Mernda,h,01/07/2017
Mernda,h,01/07/2017
Mill Park,u,01/07/2017
Mill Park,h,01/07/2017
Mitcham,h,01/07/2017
Mitcham,t,01/07/2017
Mont Albert,h,01/07/2017
Mont Albert,h,01/07/2017
Montmorency,h,01/07/2017
Moonee Ponds,h,01/07/2017
Moonee Ponds,h,01/07/2017
Moonee Ponds,h,01/07/2017
Mordialloc,h,01/07/2017
Mount Waverley,h,01/07/2017
Mount Waverley,h,01/07/2017
Mount Waverley,h,01/07/2017
Mount Waverley,h,01/07/2017
Mount Waverley,h,01/07/2017
Mount Waverley,h,01/07/2017
Newport,h,01/07/2017
Newport,h,01/07/2017
Noble Park,u,01/07/2017
North Melbourne,u,01/07/2017
North Melbourne,h,01/07/2017
North Melbourne,t,01/07/2017
Northcote,h,01/07/2017
Northcote,h,01/07/2017
Northcote,u,01/07/2017
Nunawading,u,01/07/2017
Nunawading,h,01/07/2017
Nunawading,h,01/07/2017
Oak Park,t,01/07/2017
Oakleigh East,h,01/07/2017
Oakleigh South,h,01/07/2017
Oakleigh South,u,01/07/2017
Ormond,u,01/07/2017
Ormond,u,01/07/2017
Parkdale,t,01/07/2017
Parkdale,h,01/07/2017
Parkdale,h,01/07/2017
Pascoe Vale,h,01/07/2017
Pascoe Vale,h,01/07/2017
Point Cook,h,01/07/2017
Point Cook,h,01/07/2017
Port Melbourne,u,01/07/2017
Port Melbourne,h,01/07/2017
Prahran,u,01/07/2017
Prahran,u,01/07/2017
Preston,h,01/07/2017
Preston,h,01/07/2017
Preston,t,01/07/2017
Princes Hill,h,01/07/2017
Princes Hill,h,01/07/2017
Reservoir,h,01/07/2017
Reservoir,h,01/07/2017
Reservoir,h,01/07/2017
Reservoir,h,01/07/2017
Reservoir,t,01/07/2017
Richmond,h,01/07/2017
Richmond,h,01/07/2017
Richmond,h,01/07/2017
Richmond,u,01/07/2017
Richmond,h,01/07/2017
Ringwood East,u,01/07/2017
Rosanna,h,01/07/2017
Rowville,h,01/07/2017
Rowville,h,01/07/2017
Roxburgh Park,h,01/07/2017
Sandringham,u,01/07/2017
Seabrook,h,01/07/2017
Seaford,h,01/07/2017
Seaford,h,01/07/2017
Seaford,u,01/07/2017
Seaholme,t,01/07/2017
Seddon,h,01/07/2017
South Melbourne,h,01/07/2017
South Morang,u,01/07/2017
South Yarra,u,01/07/2017
South Yarra,h,01/07/2017
South Yarra,u,01/07/2017
South Yarra,u,01/07/2017
Springvale,h,01/07/2017
St Albans,h,01/07/2017
St Helena,h,01/07/2017
St Kilda,u,01/07/2017
Strathmore,h,01/07/2017
Strathmore Heights,h,01/07/2017
Sunbury,h,01/07/2017
Sunbury,h,01/07/2017
Sunbury,h,01/07/2017
Sunbury,h,01/07/2017
Sunshine,t,01/07/2017
Sunshine West,h,01/07/2017
Surrey Hills,h,01/07/2017
Sydenham,h,01/07/2017
Tarneit,h,01/07/2017
Tarneit,h,01/07/2017
Taylors Hill,h,01/07/2017
Taylors Lakes,h,01/07/2017
Thomastown,u,01/07/2017
Toorak,h,01/07/2017
Tullamarine,h,01/07/2017
Vermont,t,01/07/2017
Viewbank,h,01/07/2017
Viewbank,u,01/07/2017
Werribee,h,01/07/2017
Werribee,h,01/07/2017
Werribee,h,01/07/2017
Werribee,h,01/07/2017
Werribee South,h,01/07/2017
West Footscray,h,01/07/2017
Westmeadows,h,01/07/2017
Williams Landing,h,01/07/2017
Wollert,u,01/07/2017
Wollert,h,01/07/2017
Wyndham Vale,h,01/07/2017
Wyndham Vale,h,01/07/2017
Ascot Vale,h,01/09/2018
Ashwood,t,01/09/2018
Balwyn North,h,01/09/2018
Balwyn North,h,01/09/2018
Bayswater,u,01/09/2018
Bayswater,h,01/09/2018
Beaumaris,u,01/09/2018
Beaumaris,h,01/09/2018
Beaumaris,h,01/09/2018
Bentleigh,h,01/09/2018
Bentleigh,t,01/09/2018
Bentleigh,h,01/09/2018
Bentleigh East,t,01/09/2018
Bentleigh East,h,01/09/2018
Bentleigh East,h,01/09/2018
Bentleigh East,t,01/09/2018
Bentleigh East,h,01/09/2018
Black Rock,h,01/09/2018
Blackburn,u,01/09/2018
Blackburn North,h,01/09/2018
Box Hill,h,01/09/2018
Brighton,u,01/09/2018
Brunswick,h,01/09/2018
Brunswick,h,01/09/2018
Brunswick West,u,01/09/2018
Brunswick West,h,01/09/2018
Brunswick West,u,01/09/2018
Bulleen,h,01/09/2018
Bulleen,h,01/09/2018
Bundoora,h,01/09/2018
Bundoora,h,01/09/2018
Bundoora,h,01/09/2018
Bundoora,h,01/09/2018
Burwood East,h,01/09/2018
Carlton,u,01/09/2018
Carlton,h,01/09/2018
Cheltenham,u,01/09/2018
Clayton,h,01/09/2018
Clayton South,h,01/09/2018
Coburg,h,01/09/2018
Coburg North,h,01/09/2018
Craigieburn,h,01/09/2018
Craigieburn,h,01/09/2018
Craigieburn,h,01/09/2018
Croydon South,h,01/09/2018
Dallas,h,01/09/2018
Doncaster East,u,01/09/2018
Doncaster East,h,01/09/2018
Elsternwick,t,01/09/2018
Elwood,u,01/09/2018
Elwood,u,01/09/2018
Elwood,u,01/09/2018
Epping,h,01/09/2018
Essendon,u,01/09/2018
Essendon,h,01/09/2018
Essendon,h,01/09/2018
Essendon North,h,01/09/2018
Essendon West,h,01/09/2018
Essendon West,h,01/09/2018
Fawkner,u,01/09/2018
Ferntree Gully,h,01/09/2018
Fitzroy,h,01/09/2018
Fitzroy North,h,01/09/2018
Forest Hill,t,01/09/2018
Gladstone Park,h,01/09/2018
Glen Iris,u,01/09/2018
Glen Iris,h,01/09/2018
Glen Iris,h,01/09/2018
Glen Waverley,h,01/09/2018
Glen Waverley,h,01/09/2018
Glen Waverley,h,01/09/2018
Glen Waverley,h,01/09/2018
Glen Waverley,h,01/09/2018
Glenroy,t,01/09/2018
Glenroy,u,01/09/2018
Greenvale,h,01/09/2018
Hadfield,h,01/09/2018
Hadfield,h,01/09/2018
Hampton,u,01/09/2018
Hampton,h,01/09/2018
Hawthorn,u,01/09/2018
Heathmont,h,01/09/2018
Heidelberg Heights,h,01/09/2018
Heidelberg West,h,01/09/2018
Heidelberg West,h,01/09/2018
Highett,t,01/09/2018
Ivanhoe,h,01/09/2018
Jacana,h,01/09/2018
Keilor,h,01/09/2018
Keilor Downs,h,01/09/2018
Keilor East,h,01/09/2018
Keilor Park,h,01/09/2018
Kew,h,01/09/2018
Kew,h,01/09/2018
Kew East,h,01/09/2018
Keysborough,h,01/09/2018
Kings Park,h,01/09/2018
Kingsville,h,01/09/2018
Knoxfield,h,01/09/2018
Lalor,h,01/09/2018
Lalor,h,01/09/2018
Lalor,h,01/09/2018
Maidstone,u,01/09/2018
Malvern,u,01/09/2018
Melbourne,u,01/09/2018
Melbourne,u,01/09/2018
Melbourne,u,01/09/2018
Mentone,u,01/09/2018
Mentone,t,01/09/2018
Mentone,t,01/09/2018
Mernda,h,01/09/2018
Mernda,h,01/09/2018
Mernda,h,01/09/2018
Mernda,h,01/09/2018
Mernda,h,01/09/2018
Mill Park,h,01/09/2018
Mill Park,h,01/09/2018
Mill Park,h,01/09/2018
Mill Park,h,01/09/2018
Mitcham,h,01/09/2018
Montmorency,u,01/09/2018
Moonee Ponds,h,01/09/2018
Moorabbin,t,01/09/2018
Mount Waverley,h,01/09/2018
Mount Waverley,h,01/09/2018
Mount Waverley,h,01/09/2018
Mount Waverley,h,01/09/2018
Mulgrave,h,01/09/2018
Mulgrave,h,01/09/2018
Murrumbeena,u,01/09/2018
Murrumbeena,u,01/09/2018
Newport,h,01/09/2018
Northcote,h,01/09/2018
Nunawading,h,01/09/2018
Ormond,t,01/09/2018
Parkdale,h,01/09/2018
Parkdale,u,01/09/2018
Pascoe Vale,u,01/09/2018
Port Melbourne,h,01/09/2018
Prahran,u,01/09/2018
Prahran,h,01/09/2018
Prahran,h,01/09/2018
Prahran,h,01/09/2018
Prahran,h,01/09/2018
Preston,h,01/09/2018
Preston,h,01/09/2018
Preston,h,01/09/2018
Reservoir,h,01/09/2018
Reservoir,h,01/09/2018
Reservoir,u,01/09/2018
Reservoir,h,01/09/2018
Reservoir,h,01/09/2018
Richmond,h,01/09/2018
Richmond,h,01/09/2018
Richmond,h,01/09/2018
Rosanna,h,01/09/2018
Roxburgh Park,h,01/09/2018
South Melbourne,u,01/09/2018
South Melbourne,h,01/09/2018
South Melbourne,u,01/09/2018
South Melbourne,h,01/09/2018
South Morang,h,01/09/2018
South Yarra,h,01/09/2018
South Yarra,h,01/09/2018
Springvale,h,01/09/2018
Strathmore,h,01/09/2018
Sunshine,h,01/09/2018
Surrey Hills,u,01/09/2018
Surrey Hills,h,01/09/2018
Sydenham,h,01/09/2018
Taylors Lakes,h,01/09/2018
Taylors Lakes,h,01/09/2018
Thomastown,h,01/09/2018
Thornbury,h,01/09/2018
Thornbury,h,01/09/2018
Toorak,h,01/09/2018
Toorak,u,01/09/2018
Werribee,h,01/09/2018
Westmeadows,t,01/09/2018
Wheelers Hill,h,01/09/2018
Wheelers Hill,h,01/09/2018
Wheelers Hill,h,01/09/2018
Williamstown,u,01/09/2018
Windsor,u,01/09/2018
Yarraville,h,01/09/2018
Yarraville,h,01/09/2018
Airport West,h,02/06/2018
Albert Park,u,02/06/2018
Albion,h,02/06/2018
Alphington,h,02/06/2018
Altona North,h,02/06/2018
Armadale,u,02/06/2018
Ascot Vale,h,02/06/2018
Ascot Vale,u,02/06/2018
Ascot Vale,t,02/06/2018
Ashwood,h,02/06/2018
Ashwood,h,02/06/2018
Ashwood,h,02/06/2018
Balwyn,t,02/06/2018
Balwyn,h,02/06/2018
Balwyn North,h,02/06/2018
Bayswater North,u,02/06/2018
Bentleigh,u,02/06/2018
Bentleigh,t,02/06/2018
Bentleigh East,h,02/06/2018
Bentleigh East,h,02/06/2018
Bentleigh East,h,02/06/2018
Bentleigh East,h,02/06/2018
Bentleigh East,t,02/06/2018
Black Rock,h,02/06/2018
Blackburn South,h,02/06/2018
Blackburn South,h,02/06/2018
Bonbeach,h,02/06/2018
Boronia,h,02/06/2018
Box Hill,h,02/06/2018
Braybrook,h,02/06/2018
Brighton,t,02/06/2018
Brighton East,h,02/06/2018
Brighton East,h,02/06/2018
Brighton East,h,02/06/2018
Brighton East,h,02/06/2018
Brighton East,h,02/06/2018
