Suburb,Rooms,Type,Price,Method,Date,Distance,Postcode,Car,Lattitude,Longtitude,Propertycount
Alphington,2,u,480000,PI,07/05/2016,6.4,3078,,,,2211
Alphington,4,h,1830000,S,19/11/2016,6.4,3078,2,-37.7743,145.0316,2211
Alphington,3,h,1361000,S,25/02/2017,6.4,3078,,-37.7796,145.0285,2211
Alphington,4,h,,SP,25/02/2017,6.4,3078,2,-37.7765,145.0283,2211
Alphington,3,h,1310000,S,26/07/2016,6.4,3078,,,,2211
Altona,4,h,780000,PI,04/06/2016,13.8,3018,4,-37.868,144.8154,5301
Altona,2,u,391000,SP,11/02/2017,13.8,3018,1,-37.8678,144.8384,5301
Altona,2,u,440000,SP,11/02/2017,13.8,3018,1,-37.8659,144.831,5301
Altona,4,h,845000,S,11/02/2017,13.8,3018,2,-37.8658,144.8155,5301
Altona,3,h,766000,S,11/03/2017,13.8,3018,,,,5301
Altona,3,t,743000,SP,12/11/2016,13.8,3018,2,-37.8698,144.816,5301
Altona,3,h,980000,S,19/11/2016,13.8,3018,2,-37.8672,144.817,5301
Altona,4,h,1030000,S,25/02/2017,13.8,3018,0,-37.8663,144.8387,5301
Altona,3,u,605000,S,25/02/2017,13.8,3018,2,-37.8659,144.822,5301
Altona,3,h,685000,S,25/02/2017,13.8,3018,,,,5301
Altona,2,u,,PI,25/02/2017,13.8,3018,1,-37.871,144.8185,5301
Altona,3,h,753000,S,27/06/2016,13.8,3018,2,-37.8612,144.8247,5301
Altona North,3,h,750000,SP,04/03/2017,11.1,3025,3,-37.8449,144.85,5132
Altona North,2,t,421000,S,04/03/2017,11.1,3025,1,-37.8351,144.8529,5132
Altona North,3,h,1405000,S,04/03/2017,11.1,3025,3,-37.8338,144.8562,5132
Altona North,2,h,,S,04/03/2017,11.1,3025,,,,5132
Altona North,3,h,683000,S,04/06/2016,11.1,3025,2,-37.8284,144.8355,5132
Altona North,4,h,650000,SP,12/06/2016,11.1,3025,4,-37.8451,144.8529,5132
Altona North,3,h,815000,S,25/02/2017,11.1,3025,3,-37.8318,144.8388,5132
Altona North,4,h,970000,S,25/02/2017,11.1,3025,2,-37.833,144.8494,5132
Altona North,4,h,840000,S,26/07/2016,11.1,3025,,,,5132
Armadale,3,h,1870000,S,04/03/2017,6.3,3143,1,-37.8592,145.0182,4836
Armadale,4,h,,SN,04/03/2017,6.3,3143,1,-37.859,145.0172,4836
Armadale,2,u,678000,S,04/03/2017,6.3,3143,2,-37.8538,145.0127,4836
Armadale,2,h,,PI,04/03/2017,6.3,3143,1,-37.8538,145.0123,4836
Armadale,3,h,,S,04/03/2017,6.3,3143,,,,4836
Armadale,3,t,1918000,SP,04/03/2017,6.3,3143,2,-37.8537,145.0267,4836
Armadale,1,u,,SP,04/03/2017,6.3,3143,0,-37.8614,145.0222,4836
Armadale,2,u,660000,SP,04/03/2017,6.3,3143,1,-37.8619,145.0257,4836
Armadale,3,h,2050000,S,04/03/2017,6.3,3143,1,-37.8574,145.0281,4836
Armadale,4,h,,S,04/06/2016,6.3,3143,,,,4836
Armadale,2,h,1900000,VB,18/03/2017,6.3,3143,0,-37.8571,145.0224,4836
Armadale,1,u,440000,SP,18/03/2017,6.3,3143,1,-37.8531,145.0115,4836
Armadale,2,u,,SP,18/03/2017,6.3,3143,,,,4836
Armadale,2,u,,SN,18/03/2017,6.3,3143,1,-37.8623,145.0262,4836
Armadale,2,u,490000,PI,18/06/2016,6.3,3143,1,-37.8646,145.0247,4836
Armadale,2,u,872000,S,25/02/2017,6.3,3143,1,-37.8604,145.0147,4836
Armadale,2,u,598000,S,25/02/2017,6.3,3143,1,-37.8593,145.0156,4836
Armadale,3,h,,SN,25/02/2017,6.3,3143,2,-37.8595,145.0166,4836
Armadale,3,h,1285000,S,25/02/2017,6.3,3143,2,-37.8554,145.0173,4836
Armadale,4,h,3660000,S,25/02/2017,6.3,3143,2,-37.8593,145.0275,4836
Armadale,3,h,,VB,25/02/2017,6.3,3143,2,-37.8572,145.0275,4836
Armadale,2,u,,S,26/07/2016,6.3,3143,1,-37.8498,145.0145,4836
Ascot Vale,2,u,490000,VB,04/03/2017,5.9,3032,1,-37.7736,144.9015,6567
Ascot Vale,4,h,1850000,S,04/03/2017,5.9,3032,1,-37.7729,144.9179,6567
Ascot Vale,3,h,1284000,S,04/03/2017,5.9,3032,2,-37.7758,144.9089,6567
Ascot Vale,3,h,971000,SP,04/06/2016,5.9,3032,2,-37.775,144.9091,6567
Ascot Vale,3,h,1440000,S,11/02/2017,5.9,3032,1,-37.7725,144.9146,6567
Ascot Vale,2,h,955000,S,11/03/2017,5.9,3032,0,-37.7825,144.9208,6567
Ascot Vale,2,u,450000,VB,12/11/2016,5.9,3032,1,-37.7731,144.9074,6567
Ascot Vale,3,h,1350000,S,18/03/2017,5.9,3032,3,-37.7828,144.9049,6567
Ascot Vale,5,h,1905000,S,18/03/2017,5.9,3032,2,-37.7778,144.9261,6567
Ascot Vale,2,t,865000,SP,18/03/2017,5.9,3032,1,-37.7713,144.9038,6567
Ascot Vale,2,t,705000,S,18/06/2016,5.9,3032,1,-37.7712,144.9088,6567
Ascot Vale,2,u,390000,PI,25/02/2017,5.9,3032,1,-37.7731,144.9074,6567
Ascot Vale,4,h,1345000,S,25/02/2017,5.9,3032,1,-37.7769,144.9138,6567
Ascot Vale,1,u,296000,S,25/02/2017,5.9,3032,,,,6567
Ascot Vale,3,h,1381500,S,25/02/2017,5.9,3032,2,-37.7727,144.9055,6567
Ascot Vale,3,h,940000,S,26/07/2016,5.9,3032,2,-37.7778,144.9061,6567
Ashburton,2,h,1575000,S,04/03/2017,11,3147,2,-37.869,145.0822,3052
Ashburton,4,h,1991000,S,04/03/2017,11,3147,,,,3052
Ashburton,3,h,1425000,S,04/06/2016,11,3147,,,,3052
Ashburton,4,h,,S,18/03/2017,11,3147,,,,3052
Ashburton,2,h,,S,18/03/2017,11,3147,2,-37.8723,145.0759,3052
Ashburton,5,h,3510000,S,18/03/2017,11,3147,2,-37.8598,145.0796,3052
Ashburton,4,h,1730000,SP,18/06/2016,11,3147,,,,3052
Ashburton,4,h,1650000,PI,25/02/2017,11,3147,,,,3052
Ashburton,4,h,1800000,S,25/02/2017,11,3147,4,-37.8669,145.077,3052
Ashburton,3,h,1610000,S,25/02/2017,11,3147,,,,3052
Ashburton,4,h,,S,25/02/2017,11,3147,,,,3052
Ashburton,4,h,,SN,25/02/2017,11,3147,2,-37.8599,145.0765,3052
Ashburton,3,h,1830000,S,25/02/2017,11,3147,3,-37.8619,145.0879,3052
Ashburton,3,t,,SP,25/02/2017,11,3147,,,,3052
Ashburton,3,h,1415000,S,27/06/2016,11,3147,1,-37.8703,145.0774,3052
Ashwood,4,h,1200000,SP,04/03/2017,12.2,3147,2,-37.8716,145.0999,2894
Ashwood,2,h,1075000,VB,04/06/2016,12.2,3147,2,-37.8694,145.0944,2894
Ashwood,3,h,1200000,VB,18/03/2017,12.2,3147,,,,2894
Ashwood,4,h,,S,18/03/2017,12.2,3147,2,-37.8618,145.0996,2894
Ashwood,2,u,600000,S,18/03/2017,12.2,3147,1,-37.8696,145.0962,2894
Ashwood,4,t,980000,PI,18/03/2017,12.2,3147,,,,2894
Ashwood,3,u,,PI,18/06/2016,12.2,3147,2,-37.8676,145.107,2894
Ashwood,4,h,,S,25/02/2017,12.2,3147,,,,2894
Ashwood,3,h,855000,S,25/02/2017,12.2,3147,1,-37.87,145.1103,2894
Ashwood,3,h,900000,VB,25/02/2017,12.2,3147,,,,2894
Ashwood,4,t,1400000,S,25/02/2017,12.2,3147,,,,2894
Ashwood,4,t,,PI,26/07/2016,12.2,3147,,,,2894
Avondale Heights,4,h,806000,S,04/03/2017,10.5,3034,1,-37.7676,144.859,4502
Avondale Heights,4,h,1155000,S,04/06/2016,10.5,3034,2,-37.7654,144.8655,4502
Avondale Heights,2,t,585000,S,11/02/2017,10.5,3034,1,-37.7623,144.8613,4502
Avondale Heights,3,h,,S,12/11/2016,10.5,3034,1,-37.7699,144.8662,4502
Avondale Heights,3,h,850000,S,18/03/2017,10.5,3034,2,-37.7522,144.8518,4502
Avondale Heights,3,h,775000,S,18/06/2016,10.5,3034,,,,4502
Avondale Heights,3,h,875000,S,25/02/2017,10.5,3034,3,-37.765,144.8578,4502
Avondale Heights,4,h,,SN,25/02/2017,10.5,3034,,,,4502
Avondale Heights,3,h,850000,SP,25/02/2017,10.5,3034,8,-37.751,144.8571,4502
Avondale Heights,3,h,635000,SP,26/07/2016,10.5,3034,1,-37.7568,144.8572,4502
Balaclava,3,h,1193000,S,18/06/2016,6.6,3183,1,-37.8663,144.9948,2952
Balaclava,3,h,1690000,S,25/02/2017,6.6,3183,2,-37.872,144.9909,2952
Balaclava,3,h,,SP,26/07/2016,6.6,3183,2,-37.8703,144.9931,2952
Balwyn,4,h,,S,04/03/2017,9.7,3103,4,-37.8148,145.0744,5682
Balwyn,2,u,812000,S,04/03/2017,9.7,3103,1,-37.8092,145.0778,5682
Balwyn,3,h,,VB,04/03/2017,9.7,3103,,,,5682
Balwyn,4,h,4260000,S,04/03/2017,9.7,3103,,,,5682
Balwyn,3,h,1140000,S,04/06/2016,9.7,3103,2,-37.8162,145.0771,5682
Balwyn,4,t,1400000,PI,12/11/2016,9.7,3103,2,-37.8042,145.1042,5682
Balwyn,4,h,,SP,18/03/2017,9.7,3103,2,-37.8046,145.0643,5682
Balwyn,3,h,1605000,SP,18/03/2017,9.7,3103,,-37.807,145.0766,5682
Balwyn,3,h,,SN,18/03/2017,9.7,3103,2,-37.8103,145.0892,5682
Balwyn,5,h,,SN,18/03/2017,9.7,3103,3,-37.8101,145.0892,5682
Balwyn,5,h,3000000,VB,18/06/2016,9.7,3103,2,-37.8025,145.0665,5682
Balwyn,2,t,,SP,25/02/2017,9.7,3103,2,-37.814,145.0984,5682
Balwyn,4,h,,SP,25/02/2017,9.7,3103,5,-37.8083,145.0747,5682
Balwyn,4,h,1820000,SP,25/02/2017,9.7,3103,,,,5682
Balwyn,4,h,2275000,VB,25/02/2017,9.7,3103,1,-37.8054,145.0771,5682
Balwyn,5,h,2810000,PI,25/02/2017,9.7,3103,4,-37.8131,145.1,5682
Balwyn,3,t,1385000,S,25/02/2017,9.7,3103,2,-37.8164,145.0846,5682
Balwyn,6,h,4600000,SP,26/07/2016,9.7,3103,,,,5682
Balwyn North,5,h,,S,04/03/2017,9.2,3104,,,,7809
Balwyn North,3,h,2000000,S,04/03/2017,9.2,3104,3,-37.7938,145.0732,7809
Balwyn North,4,h,1750000,S,04/03/2017,9.2,3104,2,-37.7856,145.0918,7809
Balwyn North,3,h,1450000,VB,04/03/2017,9.2,3104,2,-37.7862,145.0781,7809
Balwyn North,4,h,2614000,S,04/03/2017,9.2,3104,2,-37.7959,145.0787,7809
Balwyn North,4,h,1825000,S,04/03/2017,9.2,3104,3,-37.7944,145.1028,7809
Balwyn North,4,h,2550000,S,04/03/2017,9.2,3104,4,-37.7954,145.0838,7809
Balwyn North,4,h,,S,04/06/2016,9.2,3104,4,-37.7954,145.0722,7809
Balwyn North,4,h,1670000,SP,11/03/2017,9.2,3104,2,-37.7871,145.0843,7809
Balwyn North,5,h,1500000,S,12/06/2016,9.2,3104,1,-37.8023,145.0976,7809
Balwyn North,3,h,,S,18/03/2017,9.2,3104,,,,7809
Balwyn North,4,h,1670000,S,18/03/2017,9.2,3104,4,-37.7908,145.101,7809
Balwyn North,2,h,1350000,SP,18/03/2017,9.2,3104,2,-37.7945,145.067,7809
Balwyn North,2,u,,PI,18/03/2017,9.2,3104,1,-37.7941,145.0649,7809
Balwyn North,3,h,2086000,S,18/03/2017,9.2,3104,,,,7809
Balwyn North,4,h,1675000,S,18/03/2017,9.2,3104,2,-37.7835,145.0883,7809
Balwyn North,4,t,1680000,S,18/03/2017,9.2,3104,1,-37.7987,145.0788,7809
Balwyn North,4,h,,S,18/06/2016,9.2,3104,1,-37.7942,145.0686,7809
Balwyn North,4,h,,SN,25/02/2017,9.2,3104,2,-37.7908,145.0881,7809
Balwyn North,3,h,1520000,S,25/02/2017,9.2,3104,2,-37.7882,145.0882,7809
Balwyn North,3,t,,SP,25/02/2017,9.2,3104,2,-37.7853,145.098,7809
Balwyn North,4,h,1250000,VB,25/02/2017,9.2,3104,2,-37.7997,145.0993,7809
Balwyn North,6,h,1900000,S,25/02/2017,9.2,3104,2,-37.7842,145.0921,7809
Balwyn North,3,h,,S,25/02/2017,9.2,3104,2,-37.793,145.0996,7809
Balwyn North,4,h,2006000,S,25/02/2017,9.2,3104,,,,7809
Balwyn North,5,h,1875000,PI,27/06/2016,9.2,3104,2,-37.7854,145.0869,7809
Bentleigh,3,h,,S,04/03/2017,13,3204,,,,6795
Bentleigh,4,h,2470000,S,04/03/2017,13,3204,,,,6795
Bentleigh,3,t,710000,PI,04/03/2017,13,3204,,,,6795
Bentleigh,4,h,1260000,PI,04/03/2017,13,3204,2,-37.9232,145.0502,6795
Bentleigh,2,u,896000,S,04/03/2017,13,3204,,,,6795
Bentleigh,4,h,2700000,S,04/06/2016,13,3204,2,-37.9155,145.0401,6795
Bentleigh,4,h,,S,11/03/2017,13,3204,3,-37.9155,145.0441,6795
Bentleigh,2,u,420000,PI,12/11/2016,13,3204,0,-37.9158,145.0379,6795
Bentleigh,4,t,1380000,PI,18/03/2017,13,3204,,,,6795
Bentleigh,3,t,825000,S,18/03/2017,13,3204,2,-37.9317,145.0352,6795
Bentleigh,3,t,,S,18/03/2017,13,3204,1,-37.9284,145.0429,6795
Bentleigh,3,t,1235000,S,18/03/2017,13,3204,2,-37.9289,145.0478,6795
Bentleigh,3,u,820000,PI,18/03/2017,13,3204,,,,6795
Bentleigh,5,h,1600000,VB,18/06/2016,13,3204,2,-37.9168,145.04,6795
Bentleigh,5,h,1900000,S,25/02/2017,13,3204,2,-37.9144,145.0401,6795
Bentleigh,3,h,1230000,S,25/02/2017,13,3204,2,-37.9161,145.0284,6795
Bentleigh,4,h,1150000,PI,25/02/2017,13,3204,2,-37.9155,145.0301,6795
Bentleigh,3,t,1200000,S,26/07/2016,13,3204,,,,6795
Bentleigh East,4,h,1190000,S,04/03/2017,13.9,3165,3,-37.9166,145.0719,10969
Bentleigh East,4,h,1270000,S,04/03/2017,13.9,3165,1,-37.9174,145.0717,10969
Bentleigh East,3,u,1025000,S,04/03/2017,13.9,3165,2,-37.9229,145.0557,10969
Bentleigh East,2,u,737500,S,04/03/2017,13.9,3165,,,,10969
Bentleigh East,3,u,740000,PI,04/03/2017,13.9,3165,1,-37.9244,145.0547,10969
Bentleigh East,4,h,1960000,S,04/03/2017,13.9,3165,4,-37.9234,145.0533,10969
Bentleigh East,4,t,1000000,PI,04/03/2017,13.9,3165,,,,10969
Bentleigh East,2,t,742000,S,04/06/2016,13.9,3165,,,,10969
Bentleigh East,4,h,1130000,S,11/02/2017,13.9,3165,,,,10969
Bentleigh East,4,t,1235000,SP,11/03/2017,13.9,3165,,,,10969
Bentleigh East,4,t,1250000,S,12/11/2016,13.9,3165,,,,10969
Bentleigh East,3,t,1030000,S,18/03/2017,13.9,3165,2,-37.9195,145.0555,10969
Bentleigh East,3,t,970000,S,18/03/2017,13.9,3165,2,-37.9176,145.0566,10969
Bentleigh East,3,h,930000,S,18/03/2017,13.9,3165,2,-37.9369,145.0751,10969
Bentleigh East,4,h,,SN,18/03/2017,13.9,3165,2,-37.9287,145.0792,10969
Bentleigh East,4,h,1510000,SP,18/03/2017,13.9,3165,2,-37.9198,145.0545,10969
Bentleigh East,3,u,,S,18/03/2017,13.9,3165,1,-37.9122,145.0678,10969
Bentleigh East,3,t,1240000,S,18/03/2017,13.9,3165,2,-37.9316,145.0542,10969
Bentleigh East,3,h,823000,S,18/03/2017,13.9,3165,2,-37.9079,145.0707,10969
Bentleigh East,4,h,1310000,S,18/03/2017,13.9,3165,2,-37.9147,145.0645,10969
Bentleigh East,4,h,1270000,PI,18/03/2017,13.9,3165,,,,10969
Bentleigh East,4,h,,S,18/03/2017,13.9,3165,2,-37.925,145.0772,10969
Bentleigh East,4,h,1475000,S,18/03/2017,13.9,3165,2,-37.9272,145.0786,10969
Bentleigh East,4,t,950000,PI,18/03/2017,13.9,3165,1,-37.9133,145.0837,10969
Bentleigh East,4,t,1045000,S,18/06/2016,13.9,3165,1,-37.9198,145.0789,10969
Bentleigh East,3,u,770000,PI,25/02/2017,13.9,3165,1,-37.9257,145.0811,10969
Bentleigh East,3,h,1110000,S,25/02/2017,13.9,3165,6,-37.9272,145.0705,10969
Bentleigh East,1,u,380000,S,25/02/2017,13.9,3165,1,-37.9315,145.0619,10969
Bentleigh East,4,h,1175000,S,25/02/2017,13.9,3165,2,-37.9281,145.0669,10969
Bentleigh East,3,h,1200000,S,25/02/2017,13.9,3165,1,-37.916,145.0776,10969
Bentleigh East,3,t,,S,25/02/2017,13.9,3165,,,,10969
Bentleigh East,4,h,1370000,SP,25/02/2017,13.9,3165,2,-37.9147,145.0751,10969
Bentleigh East,4,h,1433500,S,25/02/2017,13.9,3165,1,-37.9289,145.0502,10969
Bentleigh East,2,h,1630000,S,25/02/2017,13.9,3165,2,-37.9135,145.0557,10969
Bentleigh East,3,t,,W,25/02/2017,13.9,3165,1,-37.9096,145.0842,10969
Bentleigh East,3,h,1360000,SP,25/02/2017,13.9,3165,3,-37.9233,145.0616,10969
Bentleigh East,4,h,900000,VB,26/07/2016,13.9,3165,2,-37.9229,145.0673,10969
Box Hill,2,u,790000,S,04/03/2017,13.1,3128,1,-37.826,145.129,4605
Box Hill,4,h,880000,S,04/03/2017,13.1,3128,2,-37.828,145.1215,4605
Box Hill,3,h,,S,04/06/2016,13.1,3128,2,-37.8274,145.1306,4605
Box Hill,1,u,340000,SP,18/03/2017,13.1,3128,1,-37.8215,145.1214,4605
Box Hill,2,u,,PI,18/03/2017,13.1,3128,1,-37.8241,145.1336,4605
Box Hill,3,h,4000000,VB,18/06/2016,13.1,3128,2,-37.8166,145.1215,4605
Box Hill,4,h,1750000,S,25/02/2017,13.1,3128,,,,4605
Box Hill,2,u,737000,S,26/07/2016,13.1,3128,,,,4605
Braybrook,3,u,495000,S,04/06/2016,10.8,3019,1,-37.7851,144.8517,3589
Braybrook,2,h,670000,S,13/08/2016,10.8,3019,2,-37.7825,144.8545,3589
Braybrook,3,h,696000,S,18/03/2017,10.8,3019,0,-37.7899,144.8515,3589
Braybrook,2,h,660000,S,19/11/2016,10.8,3019,1,-37.7908,144.8522,3589
Braybrook,3,h,765000,S,25/02/2017,10.8,3019,1,-37.7905,144.8485,3589
Braybrook,2,t,475000,S,25/02/2017,10.8,3019,1,-37.7948,144.854,3589
Braybrook,4,h,550000,S,26/07/2016,10.8,3019,1,-37.7775,144.855,3589
Brighton,2,u,1300000,S,04/03/2017,11.2,3186,1,-37.8954,145.0026,10579
Brighton,3,h,1390000,S,04/03/2017,11.2,3186,2,-37.9205,145.0007,10579
Brighton,4,h,4250000,S,04/03/2017,11.2,3186,2,-37.8966,144.993,10579
Brighton,2,t,,SP,04/03/2017,11.2,3186,,,,10579
Brighton,4,h,2905000,S,04/03/2017,11.2,3186,1,-37.8926,144.9991,10579
Brighton,2,u,1300000,S,04/03/2017,11.2,3186,2,-37.9172,145.004,10579
Brighton,3,t,1725000,PI,04/03/2017,11.2,3186,2,-37.918,145.0035,10579
Brighton,3,h,,S,04/03/2017,11.2,3186,2,-37.9119,144.9874,10579
Brighton,3,h,2266000,S,04/03/2017,11.2,3186,2,-37.9243,144.9989,10579
Brighton,4,h,2910000,S,04/06/2016,11.2,3186,2,-37.9136,144.9886,10579
Brighton,4,h,,SP,12/11/2016,11.2,3186,2,-37.9029,144.9895,10579
Brighton,2,u,858000,S,18/03/2017,11.2,3186,1,-37.8958,144.9982,10579
Brighton,3,t,1427000,S,18/03/2017,11.2,3186,1,-37.9206,145,10579
Brighton,3,t,2517500,SP,18/03/2017,11.2,3186,2,-37.9148,145.0009,10579
Brighton,4,h,,S,18/03/2017,11.2,3186,2,-37.896,144.9915,10579
Brighton,4,h,2800000,S,18/03/2017,11.2,3186,4,-37.8962,145.0011,10579
Brighton,5,h,,S,18/03/2017,11.2,3186,,,,10579
Brighton,2,u,,PI,18/03/2017,11.2,3186,1,-37.9079,144.9874,10579
Brighton,4,h,2300000,PI,18/03/2017,11.2,3186,,,,10579
Brighton,3,h,,SP,18/06/2016,11.2,3186,2,-37.9202,145.0045,10579
Brighton,2,t,1230000,S,25/02/2017,11.2,3186,2,-37.905,144.9959,10579
Brighton,3,h,2375000,S,25/02/2017,11.2,3186,2,-37.9152,144.993,10579
Brighton,4,h,,S,25/02/2017,11.2,3186,,,,10579
Brighton,2,t,1037000,S,25/02/2017,11.2,3186,2,-37.9078,145.0051,10579
Brighton,4,h,3050000,SP,25/02/2017,11.2,3186,2,-37.8989,145.0008,10579
Brighton,4,h,,SP,25/02/2017,11.2,3186,2,-37.9036,145.0006,10579
Brighton,3,h,,SP,25/02/2017,11.2,3186,2,-37.9036,145.0008,10579
Brighton,4,t,1630000,SP,25/02/2017,11.2,3186,2,-37.9228,145.0022,10579
Brighton,3,h,,S,25/02/2017,11.2,3186,2,-37.8873,144.9973,10579
Brighton,2,h,1701000,S,25/02/2017,11.2,3186,2,-37.9118,145.0041,10579
Brighton,2,u,760000,PI,25/02/2017,11.2,3186,2,-37.914,145.003,10579
Brighton,4,h,2640000,S,26/07/2016,11.2,3186,2,-37.9234,145.0042,10579
Brighton East,3,t,1302500,S,04/03/2017,10.7,3187,2,-37.9179,145.0091,6938
Brighton East,2,h,1445000,S,04/03/2017,10.7,3187,1,-37.9153,145.0142,6938
Brighton East,4,t,,S,04/03/2017,10.7,3187,,,,6938
Brighton East,4,t,1350000,PI,04/03/2017,10.7,3187,,,,6938
Brighton East,4,h,1840000,S,04/03/2017,10.7,3187,,,,6938
Brighton East,4,h,,PI,04/03/2017,10.7,3187,,,,6938
Brighton East,3,h,,SN,04/03/2017,10.7,3187,3,-37.9215,145.0224,6938
Brighton East,4,h,,SP,04/03/2017,10.7,3187,2,-37.9057,145.0205,6938
Brighton East,2,h,980000,S,04/06/2016,10.7,3187,1,-37.917,145.0137,6938
Brighton East,4,h,1920000,S,11/02/2017,10.7,3187,1,-37.931,145.0163,6938
Brighton East,3,h,1301000,SP,12/11/2016,10.7,3187,2,-37.9062,145.0173,6938
Brighton East,3,h,,S,18/03/2017,10.7,3187,2,-37.9298,145.0146,6938
Brighton East,3,h,1845000,S,18/03/2017,10.7,3187,,,,6938
Brighton East,4,h,,SP,18/03/2017,10.7,3187,,,,6938
Brighton East,2,u,770000,S,18/03/2017,10.7,3187,2,-37.911,145.0236,6938
Brighton East,4,h,2200000,PI,18/06/2016,10.7,3187,2,-37.9292,145.0236,6938
Brighton East,3,t,1580000,S,25/02/2017,10.7,3187,,-37.9096,145.009,6938
Brighton East,4,h,,S,25/02/2017,10.7,3187,,,,6938
Brighton East,1,u,340000,VB,25/02/2017,10.7,3187,1,-37.9164,145.0228,6938
Brighton East,4,h,,S,25/02/2017,10.7,3187,2,-37.9153,145.0144,6938
Brighton East,3,h,1537000,SP,25/02/2017,10.7,3187,2,-37.9034,145.017,6938
Brighton East,3,h,1100000,S,25/02/2017,10.7,3187,1,-37.9108,145.0121,6938
Brighton East,2,h,994000,S,25/02/2017,10.7,3187,2,-37.9013,145.0072,6938
Brighton East,4,h,,PI,25/02/2017,10.7,3187,,,,6938
Brighton East,4,t,2160000,PI,25/02/2017,10.7,3187,,,,6938
Brighton East,3,h,,SN,25/02/2017,10.7,3187,3,-37.9311,145.0207,6938
Brighton East,4,h,1447000,S,25/02/2017,10.7,3187,2,-37.9286,145.0274,6938
Brighton East,2,u,692000,S,26/07/2016,10.7,3187,1,-37.9207,145.0079,6938
Brunswick,2,t,665000,SP,04/03/2017,5.2,3056,,,,11918
Brunswick,2,u,570000,S,04/03/2017,5.2,3056,,,,11918
Brunswick,4,h,1330000,S,04/03/2017,5.2,3056,,,,11918
Brunswick,4,h,2230000,S,04/03/2017,5.2,3056,3,-37.7637,144.9662,11918
Brunswick,3,h,1050000,SP,04/06/2016,5.2,3056,2,-37.7611,144.9644,11918
Brunswick,2,u,764000,S,11/02/2017,5.2,3056,,,,11918
Brunswick,2,h,1105000,S,11/02/2017,5.2,3056,1,-37.7702,144.9692,11918
Brunswick,2,h,1260000,S,11/02/2017,5.2,3056,1,-37.7631,144.9534,11918
Brunswick,3,t,955000,S,11/02/2017,5.2,3056,2,-37.7636,144.9559,11918
Brunswick,1,t,895000,S,11/02/2017,5.2,3056,0,-37.7717,144.9679,11918
Brunswick,2,h,1094000,S,11/03/2017,5.2,3056,2,-37.7672,144.9496,11918
Brunswick,3,h,1135000,S,11/03/2017,5.2,3056,1,-37.7758,144.9508,11918
Brunswick,2,h,792000,S,12/11/2016,5.2,3056,1,-37.7597,144.9528,11918
