Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Propertycount
Albert Park,2,h,1340000,S,Greg,25/02/2017,3.3,3206,2,1,0,136,,,Port Phillip,3280
Albert Park,3,h,1801000,S,hockingstuart,25/02/2017,3.3,3206,3,1,1,202,,,Port Phillip,3280
Albert Park,3,h,1532000,S,Chisholm,26/07/2016,3.3,3206,3,3,1,0,,,Port Phillip,3280
Albert Park,3,h,3755000,S,Greg,26/07/2016,3.3,3206,3,2,2,325,,,Port Phillip,3280
Albert Park,4,h,2140000,S,Greg,27/06/2016,3.3,3206,3,2,1,183,145,1880,Port Phillip,3280
Albert Park,2,h,1750000,S,Marshall,27/11/2016,3.3,3206,2,1,1,162,,,Port Phillip,3280
Albert Park,2,h,980000,S,Greg,28/05/2016,3.3,3206,2,1,0,79,68,1890,Port Phillip,3280
Albert Park,3,h,2030000,S,hockingstuart,28/08/2016,3.3,3206,3,2,0,152,,,Port Phillip,3280
Albert Park,3,h,1740000,PI,Marshall,28/08/2016,3.3,3206,3,2,2,147,134,1890,Port Phillip,3280
Albert Park,3,h,2800000,VB,Buxton,30/07/2016,3.3,3206,3,3,1,0,,,Port Phillip,3280
Albert Park,1,h,985000,S,Marshall,30/07/2016,3.3,3206,1,1,0,81,54,1900,Port Phillip,3280
Alphington,4,h,2000000,S,Brace,03/09/2016,6.4,3078,3,2,4,853,263,1930,Darebin,2211
Alphington,3,h,1110000,S,Jellis,03/09/2016,6.4,3078,3,2,2,208,,2013,Yarra,2211
Alphington,3,h,1492000,S,Jellis,04/03/2017,6.4,3078,3,2,2,411,,,Darebin,2211
Alphington,4,h,1717500,S,Collins,08/10/2016,6.4,3078,4,2,1,599,203,1925,Darebin,2211
Alphington,5,h,2840000,S,Nelson,12/06/2016,6.4,3078,5,4,4,809,165,1910,Darebin,2211
Alphington,2,u,525500,S,Miles,12/11/2016,6.4,3078,2,1,1,88,60,1960,Darebin,2211
Alphington,2,t,805000,S,Miles,12/11/2016,6.4,3078,2,2,3,155,140,2004,Darebin,2211
Alphington,2,u,465000,S,McGrath,12/11/2016,6.4,3078,2,1,1,0,,,Darebin,2211
Alphington,3,h,2000000,PI,hockingstuart,15/10/2016,6.4,3078,3,3,2,686,,,Darebin,2211
Alphington,3,h,1540000,S,Nelson,16/04/2016,6.4,3078,3,1,2,592,,,Darebin,2211
Alphington,2,u,820000,S,Nelson,18/03/2017,6.4,3078,2,1,1,183,,,Darebin,2211
Alphington,4,h,1830000,S,Nelson,19/11/2016,6.4,3078,4,2,2,606,112,1970,Darebin,2211
Alphington,4,h,2100000,S,Nelson,19/11/2016,6.4,3078,4,2,2,575,271,2008,Darebin,2211
Alphington,3,h,865000,SP,hockingstuart,22/05/2016,6.4,3078,3,1,1,180,131,2010,Darebin,2211
Alphington,2,u,390000,VB,Nelson,22/05/2016,6.4,3078,2,1,1,0,60,1960,Darebin,2211
Alphington,2,t,650000,SP,Brace,24/09/2016,6.4,3078,0,1,0,0,,,Yarra,2211
Alphington,2,u,512000,S,Love,25/02/2017,6.4,3078,2,1,1,0,61,1965,Darebin,2211
Alphington,3,h,1165000,S,Barry,27/06/2016,6.4,3078,3,1,2,979,,,Yarra,2211
Alphington,4,h,1900000,SP,McGrath,27/11/2016,6.4,3078,4,2,2,556,272,1930,Yarra,2211
Alphington,3,h,1485000,SP,McGrath,28/08/2016,6.4,3078,3,0,0,597,,,Darebin,2211
Alphington,4,h,1950000,S,Jellis,30/07/2016,6.4,3078,4,2,3,589,210,1920,Darebin,2211
Altona,3,h,520000,VB,Greg,03/09/2016,13.8,3018,3,2,1,352,242,2015,Hobsons Bay,5301
Altona,5,h,1525000,S,Greg,03/12/2016,13.8,3018,5,3,3,729,268,2005,Hobsons Bay,5301
Altona,2,t,720000,S,hockingstuart,04/02/2016,13.8,3018,2,1,2,292,125,2013,Hobsons Bay,5301
Altona,3,h,1120000,S,Barlow,04/03/2017,13.8,3018,3,1,2,506,120,1930,Hobsons Bay,5301
Altona,4,h,780000,PI,Sweeney,04/06/2016,13.8,3018,4,1,4,655,,,Hobsons Bay,5301
Altona,4,h,1780000,SP,Greg,04/06/2016,13.8,3018,4,3,6,1057,220,1962,Hobsons Bay,5301
Altona,3,u,630000,S,Barlow,06/08/2016,13.8,3018,2,1,2,311,94,1955,Hobsons Bay,5301
Altona,2,u,406000,SP,hockingstuart,06/08/2016,13.8,3018,2,1,1,65,,,Hobsons Bay,5301
Altona,3,h,660000,VB,Greg,07/05/2016,13.8,3018,3,1,1,602,123,1955,Hobsons Bay,5301
Altona,3,h,683500,S,Greg,07/11/2016,13.8,3018,3,1,1,530,,,Hobsons Bay,5301
Altona,2,u,580000,S,Barlow,08/10/2016,13.8,3018,2,1,1,225,93,1988,Hobsons Bay,5301
Altona,3,h,1335000,S,hockingstuart,08/10/2016,13.8,3018,3,1,4,777,22,1953,Hobsons Bay,5301
Altona,3,t,800000,SP,hockingstuart,08/10/2016,13.8,3018,3,2,2,280,,1997,Hobsons Bay,5301
Altona,2,u,510000,S,Village,10/09/2016,13.8,3018,2,1,1,127,76,1990,Hobsons Bay,5301
Altona,4,h,1070000,S,Barlow,10/09/2016,13.8,3018,4,2,2,695,,,Hobsons Bay,5301
Altona,2,u,425000,S,hockingstuart,10/09/2016,13.8,3018,2,1,2,115,57,1980,Hobsons Bay,5301
Altona,3,u,605000,S,Jas,10/12/2016,13.8,3018,3,2,2,230,,,Hobsons Bay,5301
Altona,3,t,705000,S,hockingstuart,11/02/2017,13.8,3018,3,2,2,197,152,,Hobsons Bay,5301
Altona,2,u,391000,SP,Greg,11/02/2017,13.8,3018,2,1,1,0,65,1965,Hobsons Bay,5301
Altona,2,u,440000,SP,hockingstuart,11/02/2017,13.8,3018,2,1,1,0,,,Hobsons Bay,5301
Altona,4,h,845000,S,hockingstuart,11/02/2017,13.8,3018,4,1,2,745,130,1950,Hobsons Bay,5301
Altona,3,t,743000,SP,Gunn&Co,12/11/2016,13.8,3018,3,2,2,211,176,,Hobsons Bay,5301
Altona,3,u,730000,SP,Barlow,13/08/2016,13.8,3018,3,2,1,69,141,2014,Hobsons Bay,5301
Altona,3,h,635000,S,Sweeney,14/05/2016,13.8,3018,3,1,4,625,,1960,Hobsons Bay,5301
Altona,2,u,620000,SP,hockingstuart,14/05/2016,13.8,3018,2,1,1,168,,,Hobsons Bay,5301
Altona,2,u,447000,S,Burnham,15/10/2016,13.8,3018,2,1,1,137,77,1990,Hobsons Bay,5301
Altona,3,u,730000,SP,Barlow,16/04/2016,13.8,3018,3,2,1,70,,,Hobsons Bay,5301
Altona,3,h,678000,S,hockingstuart,16/04/2016,13.8,3018,3,1,2,606,87,1950,Hobsons Bay,5301
Altona,2,u,580000,PI,Biggin,16/07/2016,13.8,3018,2,2,1,175,76,2013,Hobsons Bay,5301
Altona,3,h,712000,S,hockingstuart,17/09/2016,13.8,3018,3,1,2,363,,,Hobsons Bay,5301
Altona,3,h,840000,SP,Greg,18/03/2017,13.8,3018,3,2,2,534,136,1965,Hobsons Bay,5301
Altona,3,h,980000,S,Barlow,19/11/2016,13.8,3018,3,1,2,724,,,Hobsons Bay,5301
Altona,3,t,605100,S,hockingstuart,22/05/2016,13.8,3018,3,2,0,265,,,Hobsons Bay,5301
Altona,3,h,880000,PI,Barlow,22/08/2016,13.8,3018,3,3,1,577,,,Hobsons Bay,5301
Altona,3,u,577000,S,Williams,23/04/2016,13.8,3018,3,2,1,205,113,2007,Hobsons Bay,5301
Altona,4,h,1030000,S,Barlow,25/02/2017,13.8,3018,4,1,0,797,,,Hobsons Bay,5301
Altona,3,u,605000,S,Barlow,25/02/2017,13.8,3018,3,1,2,181,,,Hobsons Bay,5301
Altona,3,h,753000,S,Barlow,27/06/2016,13.8,3018,3,2,2,529,,,Hobsons Bay,5301
Altona,2,h,857000,SP,hockingstuart,27/11/2016,13.8,3018,2,2,1,675,100,1950,Hobsons Bay,5301
Altona,3,h,1500000,S,Barlow,28/05/2016,13.8,3018,3,1,1,929,,,Hobsons Bay,5301
Altona,3,u,730000,SP,Barlow,28/05/2016,13.8,3018,3,2,1,70,3,2014,Hobsons Bay,5301
Altona,3,h,900000,S,Sweeney,28/05/2016,13.8,3018,3,1,4,697,,,Hobsons Bay,5301
Altona,3,h,740000,S,Greg,28/08/2016,13.8,3018,3,1,2,604,,,Hobsons Bay,5301
Altona,4,h,931000,S,Sweeney,28/08/2016,13.8,3018,4,2,3,532,,1970,Hobsons Bay,5301
Altona,2,h,535600,SP,Compton,30/07/2016,13.8,3018,2,1,1,154,91,1996,Hobsons Bay,5301
Altona North,5,h,1085000,S,FN,03/09/2016,11.1,3025,5,3,6,592,251,1965,Hobsons Bay,5132
Altona North,3,h,781000,S,Jas,03/09/2016,11.1,3025,3,1,2,533,117,1970,Hobsons Bay,5132
Altona North,3,h,750000,SP,Jas,04/03/2017,11.1,3025,3,1,3,554,,,Hobsons Bay,5132
Altona North,2,t,421000,S,hockingstuart,04/03/2017,11.1,3025,2,1,1,77,77,2009,Hobsons Bay,5132
Altona North,3,h,1405000,S,Sweeney,04/03/2017,11.1,3025,3,1,3,655,,,Hobsons Bay,5132
Altona North,3,h,683000,S,FN,04/06/2016,11.1,3025,3,1,2,534,167,1967,Hobsons Bay,5132
Altona North,3,h,623000,S,Sweeney,04/06/2016,11.1,3025,3,1,3,540,,,Hobsons Bay,5132
Altona North,3,h,720000,VB,Greg,06/08/2016,11.1,3025,3,2,1,0,130,2012,Hobsons Bay,5132
Altona North,3,h,588000,S,Williams,07/05/2016,11.1,3025,3,1,1,328,118,1970,Hobsons Bay,5132
Altona North,3,h,710000,PI,Village,07/11/2016,11.1,3025,3,1,3,540,116,1960,Hobsons Bay,5132
Altona North,4,h,875000,SP,Jas,08/10/2016,11.1,3025,3,1,4,559,169,1965,Hobsons Bay,5132
Altona North,3,h,700000,VB,Jas,10/12/2016,11.1,3025,3,1,3,554,,,Hobsons Bay,5132
Altona North,2,t,640000,S,Williams,11/03/2017,11.1,3025,2,1,1,252,,1965,Hobsons Bay,5132
Altona North,4,h,650000,SP,Williams,12/06/2016,11.1,3025,4,1,4,558,,,Hobsons Bay,5132
Altona North,3,h,675000,S,hockingstuart,14/05/2016,11.1,3025,3,2,2,171,109,2012,Hobsons Bay,5132
Altona North,3,h,708000,S,Greg,15/10/2016,11.1,3025,3,1,2,585,97,1960,Hobsons Bay,5132
Altona North,4,h,965000,SP,Gunn&Co,15/10/2016,11.1,3025,4,1,4,851,,,Hobsons Bay,5132
Altona North,3,h,680000,S,Sweeney,19/11/2016,11.1,3025,3,1,3,551,,,Hobsons Bay,5132
Altona North,3,h,770000,SP,hockingstuart,19/11/2016,11.1,3025,3,1,3,602,603,,Hobsons Bay,5132
Altona North,3,h,923000,S,Greg,22/05/2016,11.1,3025,3,1,2,740,,,Hobsons Bay,5132
Altona North,4,h,693000,SP,Raine&Horne,22/05/2016,11.1,3025,4,2,4,315,170,2008,Hobsons Bay,5132
Altona North,3,h,620000,SP,Hunter,22/08/2016,11.1,3025,5,2,2,276,100,2010,Hobsons Bay,5132
Altona North,3,h,728500,S,Jas,22/08/2016,11.1,3025,3,1,1,531,157,1960,Hobsons Bay,5132
Altona North,3,h,931000,S,hockingstuart,22/08/2016,11.1,3025,3,2,1,590,160,1950,Hobsons Bay,5132
Altona North,3,h,988000,S,Sweeney,22/08/2016,11.1,3025,3,1,4,715,,2008,Hobsons Bay,5132
Altona North,3,h,590000,S,Village,23/04/2016,11.1,3025,3,1,2,561,,,Hobsons Bay,5132
Altona North,2,h,610000,S,RT,24/09/2016,11.1,3025,2,1,2,691,,,Hobsons Bay,5132
Altona North,3,h,815000,S,hockingstuart,25/02/2017,11.1,3025,3,2,3,555,130,1960,Hobsons Bay,5132
Altona North,4,h,970000,S,Greg,25/02/2017,11.1,3025,4,1,2,708,,,Hobsons Bay,5132
Altona North,4,h,760000,S,Hunter,27/06/2016,11.1,3025,4,1,3,668,,,Hobsons Bay,5132
Altona North,4,t,847500,S,RT,27/06/2016,11.1,3025,4,3,1,252,,,Hobsons Bay,5132
Altona North,4,h,1200000,SP,RT,27/11/2016,11.1,3025,4,1,4,633,158,1960,Hobsons Bay,5132
Altona North,3,h,700000,SP,Hunter,27/11/2016,11.1,3025,3,1,1,557,,,Hobsons Bay,5132
Altona North,3,h,625000,PI,Hunter,28/05/2016,11.1,3025,3,1,1,536,,,Hobsons Bay,5132
Altona North,2,u,292000,S,Jas,28/08/2016,11.1,3025,2,1,1,153,70,1970,Hobsons Bay,5132
Armadale,2,u,599000,S,Jellis,03/09/2016,6.3,3143,2,1,1,0,76,1964,Stonnington,4836
Armadale,2,u,550000,VB,Noel,03/12/2016,6.3,3143,2,1,0,861,,,Stonnington,4836
Armadale,3,u,995000,S,Marshall,03/12/2016,6.3,3143,3,2,2,0,100,1998,Stonnington,4836
Armadale,3,t,1205000,S,Jellis,03/12/2016,6.3,3143,3,2,2,101,105,2000,Stonnington,4836
Armadale,3,h,1939000,S,Jellis,03/12/2016,6.3,3143,3,2,2,296,150,1889,Stonnington,4836
Armadale,1,u,421500,S,Biggin,03/12/2016,6.3,3143,1,1,0,0,,,Stonnington,4836
Armadale,3,h,1870000,S,Hodges,04/03/2017,6.3,3143,3,1,1,217,116,1888,Stonnington,4836
Armadale,2,u,678000,S,hockingstuart,04/03/2017,6.3,3143,2,1,2,0,,,Stonnington,4836
Armadale,3,t,1918000,SP,Jellis,04/03/2017,6.3,3143,3,2,2,0,165,1995,Stonnington,4836
Armadale,2,u,660000,SP,hockingstuart,04/03/2017,6.3,3143,2,1,1,0,,,Stonnington,4836
Armadale,3,h,2050000,S,Marshall,04/03/2017,6.3,3143,3,2,1,205,116,1910,Stonnington,4836
Armadale,2,u,700000,VB,Jellis,04/06/2016,6.3,3143,2,1,2,0,,,Stonnington,4836
Armadale,2,u,3625000,S,Jellis,04/06/2016,6.3,3143,3,2,2,0,,2006,Stonnington,4836
Armadale,4,h,3000000,VB,Jellis,04/06/2016,6.3,3143,4,2,2,1581,,1934,Stonnington,4836
Armadale,5,h,1525000,PI,Jellis,07/05/2016,6.3,3143,8,2,2,693,,,Stonnington,4836
Armadale,3,u,735000,PI,Marshall,07/05/2016,6.3,3143,3,2,1,2113,14,1970,Stonnington,4836
Armadale,2,u,825000,S,Jellis,07/05/2016,6.3,3143,2,1,1,0,,,Stonnington,4836
Armadale,3,t,1586000,S,RT,07/05/2016,6.3,3143,2,2,2,246,,,Stonnington,4836
Armadale,2,u,645000,S,Marshall,08/10/2016,6.3,3143,3,1,1,0,,1960,Stonnington,4836
Armadale,1,h,1435000,SP,Jellis,08/10/2016,6.3,3143,2,2,1,144,107,1900,Stonnington,4836
Armadale,1,u,280000,PI,hockingstuart,10/09/2016,6.3,3143,1,1,1,0,38,1975,Stonnington,4836
Armadale,1,u,400000,PI,hockingstuart,10/12/2016,6.3,3143,1,1,1,0,,,Stonnington,4836
Armadale,2,h,1780000,S,Marshall,10/12/2016,6.3,3143,2,2,2,0,,,Stonnington,4836
Armadale,2,u,592500,S,hockingstuart,10/12/2016,6.3,3143,2,1,1,0,73,1970,Stonnington,4836
Armadale,2,h,1210000,S,Marshall,12/11/2016,6.3,3143,2,1,0,249,96,1910,Stonnington,4836
